date,direction,entry_price,exit_price,pnl_pts,pnl_pct,win,rsi_divergence,extreme_time_hour,tail_retracement,volume_decay
2024-11-12,long,23187.0,22929.0,-258.0,-1.1126924569802044,False,True,26.383333333333333,0.25742574257425743,0.6627211954177479
2024-12-03,short,23076.0,23079.0,-3.0,-0.013000520020800833,False,True,28.633333333333333,0.08282208588957055,0.4508904960081689
2025-01-07,short,23899.0,23749.0,150.0,0.6276413239047659,True,False,21.9,0.24260355029585798,0.3995643331716092
2025-03-04,long,22337.0,22580.0,243.0,1.0878810941487218,True,True,28.733333333333334,0.12808641975308643,0.8905353008480259
2025-03-11,long,21779.0,22019.0,240.0,1.1019789705679783,True,True,27.183333333333334,0.34965034965034963,1.1171367541340769
2025-03-31,long,21040.0,20767.0,-273.0,-1.2975285171102662,False,True,25.75,0.019455252918287938,0.6818209963036841
2025-04-14,short,19866.0,19489.0,377.0,1.8977146884123628,True,False,20.583333333333332,0.1491442542787286,0.39470534649141503
2025-04-25,short,19906.0,19870.0,36.0,0.180849994976389,True,False,28.71666666666667,0.026359143327841845,0.49174678576911723
2025-05-06,long,20241.0,20353.0,112.0,0.5533323452398596,True,True,28.266666666666666,0.19601328903654486,0.33264738373495417
2025-05-13,short,21406.0,21337.0,69.0,0.3223395309726245,True,True,25.166666666666668,0.04576659038901602,0.35653807959170464
2025-06-02,long,21043.0,20844.0,-199.0,-0.9456826498122892,False,True,24.0,0.358974358974359,0.4715196534805231
2025-06-09,short,21651.0,21707.0,-56.0,-0.25864856126737795,False,True,23.116666666666667,0.29213483146067415,0.5974986863371593
2025-06-13,long,22060.0,21961.0,-99.0,-0.4487760652765186,False,False,19.95,0.8093023255813954,0.2864580058599399
2025-06-17,short,22219.0,22145.0,74.0,0.3330482920023403,True,False,23.35,0.2396694214876033,0.4805192563412133
2025-07-18,short,23314.0,23302.0,12.0,0.05147121901003689,True,False,27.366666666666667,0.24390243902439024,0.23420777376159374
2025-08-04,long,23073.0,23272.0,199.0,0.8624799549256706,True,True,22.0,0.3081395348837209,0.4416053627048535
2025-08-25,short,24088.0,24232.0,-144.0,-0.5978080371969445,False,True,25.483333333333334,0.019704433497536946,0.3151952056412888
2025-09-01,long,24110.0,23980.0,-130.0,-0.5391953546246371,False,True,22.1,0.11155378486055777,0.25686625546782543
2025-09-08,short,24671.0,24559.0,112.0,0.4539743018118439,True,False,21.816666666666666,0.2720306513409962,0.3581303012212593
2025-09-19,short,25773.0,25684.0,89.0,0.34532262445194584,True,False,18.316666666666666,0.1598639455782313,0.1928043184086809
