tier,dir,N,m,P_A,ER_A,P_Best,ER_Best,P_Bsat,ER_Bsat
mid STOP,dn,299,1.0,0.06354515050167224,0.06354515050167224,0.1505016722408027,0.1186700417570808,0.2408026755852843,0.164084518590065
mid STOP,dn,299,1.05,0.056856187290969896,0.0596989966555184,0.13377926421404682,0.11232392853771406,0.21070234113712374,0.15382593768497957
mid STOP,dn,299,1.1,0.05351170568561873,0.05886287625418061,0.12709030100334448,0.11277698900379161,0.18394648829431437,0.13722526479626
mid STOP,dn,299,1.15,0.043478260869565216,0.049999999999999996,0.10702341137123746,0.09768875577515876,0.15719063545150502,0.12192683559532376
mid STOP,dn,299,1.2,0.043478260869565216,0.05217391304347825,0.09364548494983277,0.08676562088285314,0.14381270903010032,0.11662668328294107
mid STOP,dn,299,1.25,0.03678929765886288,0.04598662207357859,0.08361204013377926,0.08005387893440163,0.13043478260869565,0.10687208859644899
mid STOP,dn,299,1.3,0.033444816053511704,0.043478260869565216,0.07357859531772576,0.07512862919360588,0.11705685618729098,0.09800000366221959
mid STOP,dn,299,1.35,0.030100334448160536,0.04063545150501673,0.06354515050167224,0.06976806280713863,0.09364548494983277,0.08403881542851752
mid STOP,dn,299,1.4,0.026755852842809364,0.03745819397993311,0.056856187290969896,0.062486154608229136,0.08361204013377926,0.0792088393898074
mid STOP,dn,299,1.45,0.020066889632107024,0.029096989966555183,0.05016722408026756,0.05445538211730627,0.08361204013377926,0.08241099454718347
mid STOP,dn,299,1.5,0.013377926421404682,0.020066889632107024,0.043478260869565216,0.04960407149921259,0.07023411371237458,0.06926604450129321
mid GO,up,221,0.1,0.9095022624434389,0.09095022624434386,1.0,0.09757001914809159,1.0,-0.027429980851908425
mid GO,up,221,0.15,0.8280542986425339,0.12420814479638007,1.0,0.14635502872213738,1.0,0.02135502872213735
mid GO,up,221,0.2,0.7285067873303167,0.1457013574660633,1.0,0.19514003829618318,1.0,0.07014003829618316
mid GO,up,221,0.25,0.6787330316742082,0.16968325791855204,0.9864253393665159,0.2404718206998278,1.0,0.11892504787022892
mid GO,up,221,0.3,0.6334841628959276,0.19004524886877827,0.9638009049773756,0.28295621279340727,1.0,0.16771005744427472
mid GO,up,221,0.35,0.5656108597285068,0.19796380090497745,0.9230769230769231,0.3130952374685861,1.0,0.21649506701832047
mid GO,up,221,0.4,0.48868778280542985,0.1954751131221719,0.8778280542986425,0.340546359756812,0.9773755656108597,0.25730119335599033
mid GO,up,221,0.45,0.4434389140271493,0.1995475113122172,0.8190045248868778,0.35628768560426943,0.9547511312217195,0.29790991657499555
mid GO,up,221,0.5,0.39819004524886875,0.19909502262443438,0.7330316742081447,0.3516619661354106,0.9049773755656109,0.3243812905114162
mid GO,up,221,0.55,0.3438914027149321,0.18914027149321266,0.6470588235294118,0.3405528885827446,0.8416289592760181,0.3387667637937046
mid GO,up,221,0.6,0.31221719457013575,0.18733031674208148,0.5656108597285068,0.3227489468538919,0.8009049773755657,0.35622497587885976
mid GO,up,221,0.65,0.2579185520361991,0.1676470588235294,0.5067873303167421,0.315747785299283,0.7194570135746606,0.35317749784989827
mid GO,up,221,0.7,0.20361990950226244,0.14253393665158368,0.4298642533936652,0.283625108696845,0.6244343891402715,0.33512208897483786
mid GO,up,221,0.75,0.17647058823529413,0.1323529411764706,0.3936651583710407,0.27802287323879543,0.5520361990950227,0.3216762054454315
mid GO,up,221,0.8,0.16289592760180996,0.13031674208144797,0.34841628959276016,0.26585657103630655,0.48868778280542985,0.30371901846179744
mid GO,up,221,0.85,0.14479638009049775,0.12307692307692307,0.2986425339366516,0.24198366145570277,0.4253393665158371,0.2837750248129667
mid GO,up,221,0.9,0.12669683257918551,0.11402714932126697,0.2171945701357466,0.18424870692561995,0.3936651583710407,0.2813202800090606
mid GO,up,221,0.95,0.09049773755656108,0.08597285067873303,0.19004524886877827,0.17115803722066092,0.3438914027149321,0.2645483423701827
mid GO,up,221,1.0,0.058823529411764705,0.058823529411764705,0.14027149321266968,0.13560007088532194,0.26244343891402716,0.21155167918666715
mid GO,up,221,1.05,0.05429864253393665,0.05701357466063349,0.12217194570135746,0.12040504078452025,0.2171945701357466,0.18257865278344804
mid GO,up,221,1.1,0.049773755656108594,0.05475113122171946,0.10407239819004525,0.10960327831551261,0.19457013574660634,0.16799999444585237
mid GO,up,221,1.15,0.04524886877828054,0.05203619909502263,0.07692307692307693,0.0773636281659253,0.14479638009049775,0.13096173997401314
mid GO,up,221,1.2,0.03619909502262444,0.04343891402714931,0.058823529411764705,0.05737021614476545,0.12217194570135746,0.11329461718164383
mid GO,up,221,1.25,0.01809954751131222,0.02262443438914027,0.04524886877828054,0.04436029456113823,0.08597285067873303,0.08193100308222609
mid GO,up,221,1.3,0.01809954751131222,0.023529411764705882,0.03619909502262444,0.03629586958556704,0.07239819004524888,0.06657438395966511
mid GO,up,221,1.35,0.00904977375565611,0.012217194570135747,0.03167420814479638,0.032065120049800895,0.058823529411764705,0.05718855198639054
mid GO,up,221,1.4,0.00904977375565611,0.01266968325791855,0.027149321266968326,0.027501489367971286,0.04524886877828054,0.04356295459033305
mid GO,up,221,1.45,0.00904977375565611,0.013122171945701358,0.027149321266968326,0.02848368541682741,0.04072398190045249,0.03984284872514971
mid GO,up,221,1.5,0.00904977375565611,0.013574660633484163,0.027149321266968326,0.029465881465683526,0.03167420814479638,0.03166863514834589
mid GO,dn,221,0.1,0.8099547511312217,0.08099547511312215,1.0,0.09757001914809159,1.0,-0.027429980851908425
mid GO,dn,221,0.15,0.7420814479638009,0.11131221719457014,0.995475113122172,0.14507691655249602,1.0,0.02135502872213735
mid GO,dn,221,0.2,0.6334841628959276,0.12669683257918551,0.995475113122172,0.1934358887366614,0.995475113122172,0.06900149959638992
mid GO,dn,221,0.25,0.5610859728506787,0.14027149321266968,0.9683257918552036,0.23460945173019052,0.995475113122172,0.11736047178055525
mid GO,dn,221,0.3,0.5203619909502263,0.15610859728506787,0.9276018099547512,0.2673022352739727,0.995475113122172,0.1657194439647206
mid GO,dn,221,0.35,0.4434389140271493,0.1552036199095023,0.8823529411764706,0.2953395350149435,0.9773755656108597,0.20952745065012982
mid GO,dn,221,0.4,0.38461538461538464,0.15384615384615385,0.832579185520362,0.3169721691872955,0.9366515837104072,0.2423731065984695
mid GO,dn,221,0.45,0.3212669683257919,0.14457013574660635,0.7782805429864253,0.33275510631279726,0.9140271493212669,0.27898509471811067
mid GO,dn,221,0.5,0.2850678733031674,0.1425339366515837,0.7013574660633484,0.3324017114718178,0.8597285067873304,0.30057108421641643
mid GO,dn,221,0.55,0.248868778280543,0.13687782805429868,0.6108597285067874,0.3207703557831383,0.8190045248868778,0.3226327567010099
mid GO,dn,221,0.6,0.19909502262443438,0.11945701357466063,0.5384615384615384,0.3074076774559264,0.7782805429864253,0.34050721280472906
mid GO,dn,221,0.65,0.1583710407239819,0.10294117647058823,0.4796380090497738,0.292350055048269,0.6923076923076923,0.3354343011410081
mid GO,dn,221,0.7,0.12669683257918551,0.08868778280542984,0.4072398190045249,0.2666834173628116,0.6018099547511312,0.3151111765218584
mid GO,dn,221,0.75,0.10407239819004525,0.07805429864253394,0.3393665158371041,0.2391009435236739,0.5203619909502263,0.295763623713199
mid GO,dn,221,0.8,0.08597285067873303,0.06877828054298644,0.27149321266968324,0.20315555263810472,0.4660633484162896,0.28450951838897803
mid GO,dn,221,0.85,0.07239819004524888,0.061538461538461535,0.2081447963800905,0.16768373373823908,0.3936651583710407,0.2598843827982747
mid GO,dn,221,0.9,0.058823529411764705,0.052941176470588235,0.167420814479638,0.14294184824418202,0.3257918552036199,0.22554694407293258
mid GO,dn,221,0.95,0.05429864253393665,0.05158371040723981,0.14479638009049775,0.13232393190173622,0.26244343891402716,0.1943945258133749
mid GO,dn,221,1.0,0.049773755656108594,0.049773755656108594,0.09502262443438914,0.09126769984366334,0.2081447963800905,0.16161396599830588
mid GO,dn,221,1.05,0.04524886877828054,0.04751131221719457,0.09049773755656108,0.09239909254757553,0.167420814479638,0.14142904977268766
mid GO,dn,221,1.1,0.04072398190045249,0.04479638009049774,0.08597285067873303,0.08910639829104912,0.13574660633484162,0.11844128167755837
mid GO,dn,221,1.15,0.04072398190045249,0.04683257918552036,0.07239819004524888,0.07784023665226684,0.09954751131221719,0.09347249213532972
mid GO,dn,221,1.2,0.03619909502262444,0.04343891402714932,0.05429864253393665,0.06256249217077636,0.08597285067873303,0.08646037361903013
mid GO,dn,221,1.25,0.03167420814479638,0.03959276018099547,0.049773755656108594,0.05986793429764323,0.08144796380090498,0.08394695912151665
mid GO,dn,221,1.3,0.03167420814479638,0.0411764705882353,0.04524886877828054,0.056909977281056914,0.07239819004524888,0.0789435372425586
mid GO,dn,221,1.35,0.03167420814479638,0.04276018099547512,0.04072398190045249,0.0523031404368442,0.05429864253393665,0.062158089717477646
mid GO,dn,221,1.4,0.027149321266968326,0.03800904977375565,0.03619909502262444,0.04858363277725481,0.04524886877828054,0.05563155924385314
mid GO,dn,221,1.45,0.027149321266968326,0.03936651583710407,0.03619909502262444,0.050318762519299634,0.04524886877828054,0.057820404523893795
mid GO,dn,221,1.5,0.01809954751131222,0.027149321266968326,0.027149321266968326,0.03816439182833973,0.04072398190045249,0.053024102747825874
strong GO,up,314,0.1,0.856687898089172,0.08566878980891719,0.9936305732484076,0.10945596182767754,1.0,-0.015505974941947338
strong GO,up,314,0.15,0.7802547770700637,0.11703821656050956,0.9936305732484076,0.16418394274151632,1.0,0.039241037587078975
strong GO,up,314,0.2,0.7229299363057324,0.1445859872611465,0.9936305732484076,0.21891192365535508,1.0,0.09398805011610532
strong GO,up,314,0.25,0.6687898089171974,0.16719745222929935,0.9808917197452229,0.2700730358491524,1.0,0.14873506264513162
strong GO,up,314,0.3,0.6019108280254777,0.18057324840764333,0.9585987261146497,0.31616004888281746,1.0,0.20348207517415795
strong GO,up,314,0.35,0.5605095541401274,0.1961783439490446,0.9235668789808917,0.35361578941540694,0.9936305732484076,0.2560840809673931
strong GO,up,314,0.4,0.5063694267515924,0.20254777070063693,0.8757961783439491,0.3822220824274177,0.964968152866242,0.2998446645346082
strong GO,up,314,0.45,0.45222929936305734,0.2035031847133758,0.8184713375796179,0.39817017331087806,0.9394904458598726,0.34144683157093697
strong GO,up,314,0.5,0.39490445859872614,0.19745222929936307,0.732484076433121,0.3941181662071422,0.89171974522293,0.3680005250527236
strong GO,up,314,0.55,0.34076433121019106,0.18742038216560508,0.6401273885350318,0.379293924460325,0.8312101910828026,0.3831132446761676
strong GO,up,314,0.6,0.2898089171974522,0.17388535031847135,0.5509554140127388,0.35537214667622413,0.7738853503184714,0.39470481386130346
strong GO,up,314,0.65,0.2515923566878981,0.16353503184713375,0.47770700636942676,0.33290697491289517,0.6815286624203821,0.37929101308376323
strong GO,up,314,0.7,0.20382165605095542,0.14267515923566879,0.3853503184713376,0.2899507884306796,0.60828025477707,0.36976684756197803
strong GO,up,314,0.75,0.17834394904458598,0.1337579617834395,0.33121019108280253,0.2665940231780502,0.5191082802547771,0.3416469588114199
strong GO,up,314,0.8,0.14968152866242038,0.1197452229299363,0.28662420382165604,0.24266316476816044,0.4554140127388535,0.31826244794779696
strong GO,up,314,0.85,0.11146496815286625,0.09474522292993631,0.2356687898089172,0.20710589708147717,0.3662420382165605,0.2756637348442769
strong GO,up,314,0.9,0.09554140127388536,0.08598726114649681,0.1942675159235669,0.17768792070753966,0.30254777070063693,0.23971866341446774
