split,score,top_pct,threshold,hold_days,mode,n_trades,win_rate,mean_ret,median_ret,best,worst,total_pnl,sharpe,maxdd,cagr,final_equity
IS,comp_z,15,3.161,60,single_tranche,4,0.5,0.005167021626841656,0.02657803564557837,0.09068779302447849,-0.1231757778082686,0.020668086507366623,0.14829569500018133,-0.23435719141994704,0.0015636559982608045,1.0062736139529436
OOS,comp_z,15,3.161,60,single_tranche,1,1.0,0.22853540508482362,0.22853540508482362,0.22853540508482362,0.22853540508482362,0.22853540508482362,2.9903787742717567,-0.05684920191152587,1.421609466836081,1.2285354050848238
IS,comp_z,15,3.161,60,continuous,150,0.6266666666666667,0.06666519831656968,0.05347471211306176,0.29686337209110514,-0.159139873202906,9.999779747485452,0.28952654071103884,-0.20835050419539458,0.013429238880605876,1.0566981240486193
OOS,comp_z,15,3.161,60,continuous,36,1.0,0.20973455552904027,0.20043123728886547,0.33679897743549225,0.14865781966521352,7.5504439990454495,3.0334398134343403,-0.05684920191152587,1.1519820103863627,1.3414569912217629
IS,comp_z,15,3.161,120,single_tranche,3,0.3333333333333333,0.058245489430697885,-0.025951832509345074,0.26659156988108657,-0.06590326907964783,0.17473646829209366,0.5341661163293774,-0.23571347136861698,0.034060592572873416,1.1524149375469668
OOS,comp_z,15,3.161,120,single_tranche,1,1.0,0.48513925069039754,0.48513925069039754,0.48513925069039754,0.48513925069039754,0.48513925069039754,3.5821189693256055,-0.05684920191152587,1.3508804212837826,1.4851392506903978
IS,comp_z,15,3.161,120,continuous,137,0.8978102189781022,0.16246442205903894,0.10561774912892163,0.5171426101679928,-0.06590326907964783,22.257625822088336,0.7179472114806562,-0.20835050419539458,0.06401660377843377,1.3056768920210384
OOS,comp_z,15,3.161,120,continuous,36,1.0,0.4696301798804405,0.4887262039905199,0.5773846284047734,0.34871778608321424,16.906686475695857,2.8912877195284397,-0.08030889760978088,0.9329593302332151,1.5143842026554981
IS,comp_z,15,3.161,250,single_tranche,2,1.0,0.33757865125995645,0.33757865125995645,0.6474989995293328,0.02765830299058014,0.6751573025199129,1.4263090592224117,-0.17344018485775503,0.23138258952719637,1.6930660260349883
OOS,comp_z,15,3.161,250,single_tranche,1,1.0,1.1920988682803997,1.1920988682803997,1.1920988682803997,1.1920988682803997,1.1920988682803997,3.3346019516679406,-0.10844119391607776,1.156641326982708,2.192098868280396
IS,comp_z,15,3.161,250,continuous,120,1.0,0.47360753884155715,0.35764955155319567,1.0231506696553772,0.0221746438681103,56.832904660986856,1.5785575875959479,-0.17655249269152495,0.29731256113098903,2.0437501804676677
OOS,comp_z,15,3.161,250,continuous,11,1.0,1.2562841980513004,1.2431071697636633,1.362450172683535,1.143684133668275,13.819126178564304,3.435270579906929,-0.10844119391607776,1.225371769441269,2.3339405597573633
IS,comp_z,20,2.481,60,single_tranche,6,0.6666666666666666,5.420683441170748e-06,0.026184260024378903,0.16505681295798902,-0.16142563149604294,3.252410064702449e-05,0.003909319298632057,-0.2626313144580871,-0.00925594328519519,0.9622368890722185
OOS,comp_z,20,2.481,60,single_tranche,1,1.0,0.22853540508482362,0.22853540508482362,0.22853540508482362,0.22853540508482362,0.22853540508482362,2.9903787742717567,-0.05684920191152587,1.421609466836081,1.2285354050848238
IS,comp_z,20,2.481,60,continuous,188,0.6117021276595744,0.056312299269620815,0.04432675695486987,0.29686337209110514,-0.17890336804135787,10.586712262688714,0.39693883632990856,-0.24173140251723158,0.026766512367795592,1.1199948079313156
OOS,comp_z,20,2.481,60,continuous,54,1.0,0.1943806195063321,0.18672666788075842,0.33679897743549225,0.11034017044454858,10.496553453341933,3.4421016706197127,-0.05684920191152587,1.2984714455809976,1.443178943957268
IS,comp_z,20,2.481,120,single_tranche,3,0.3333333333333333,-0.004515170736994849,-0.06590326907964783,0.21627549615157537,-0.1639177392829121,-0.013545512210984545,-0.0340705813108173,-0.26393750887638545,-0.01235035957077324,0.9498889125784524
OOS,comp_z,20,2.481,120,single_tranche,1,1.0,0.48513925069039754,0.48513925069039754,0.48513925069039754,0.48513925069039754,0.48513925069039754,3.5821189693256055,-0.05684920191152587,1.3508804212837826,1.4851392506903978
IS,comp_z,20,2.481,120,continuous,160,0.84375,0.15532523032328593,0.10553233317906119,0.5171426101679928,-0.1832607609374044,24.85203685172575,0.6165454919591499,-0.24173140251723013,0.05834214333857668,1.2760080658316728
OOS,comp_z,20,2.481,120,continuous,54,1.0,0.4319319942858008,0.4077804825815107,0.5773846284047734,0.3131907427645322,23.324327691433243,3.052979154169122,-0.08030889760978088,0.9763243846340481,1.5970331724283322
IS,comp_z,20,2.481,250,single_tranche,2,1.0,0.31982783236265955,0.31982783236265955,0.611997361734739,0.02765830299058014,0.6396556647253191,1.3629134853505416,-0.19920383362724436,0.22108837715775498,1.656582473185611
OOS,comp_z,20,2.481,250,single_tranche,1,1.0,1.1920988682803997,1.1920988682803997,1.1920988682803997,1.1920988682803997,1.1920988682803997,3.3346019516679406,-0.10844119391607776,1.156641326982708,2.192098868280396
IS,comp_z,20,2.481,250,continuous,139,1.0,0.45826303145232383,0.35776483160175454,1.0231506696553772,0.0221746438681103,63.69856137187301,1.3495926582163191,-0.23210554286064644,0.25787191192329395,1.8989705615284425
OOS,comp_z,20,2.481,250,continuous,11,1.0,1.2562841980513004,1.2431071697636633,1.362450172683535,1.143684133668275,13.819126178564304,3.435270579906929,-0.10844119391607776,1.225371769441269,2.3339405597573633
