d,lvl,tk,ema20,swing_at_tk,up_full,satcons,cont,W5_level,W5_slope,W5_ddpeak,W5_frozen,W10_level,W10_slope,W10_ddpeak,W10_frozen,is_seg,tk_min
2026-01-06,L5,11:00:00,294.75837965549977,367.0,489.0,1.2450875881083787,,0.6648037624991872,0.02870432830271652,0.0,0.3211022529799441,0.5854048343135451,0.022754324832540695,0.0,0.1871679496643984,IS,660
2026-01-07,L3,11:29:00,313.2575815930712,228.0,228.0,0.7278355366229483,0.0,0.16097358636516612,0.06937947706881661,0.08838480555695041,0.022614017692372746,0.04691868695782181,0.05699616220728155,0.014053168269740304,-0.07848345988799046,IS,689
2026-01-08,L3,09:43:00,305.1378119175406,242.0,310.0,0.7930842738867029,1.0,0.3661595176150951,0.24589765004278372,0.0,0.016483367918222913,0.20399370988645193,0.23934920781558738,0.0,-0.0404499574663042,IS,583
2026-01-08,L4,09:49:00,305.1378119175406,299.0,310.0,0.9798851152567114,0.0,0.41516617160197206,0.020503969407017375,0.012806289795937953,0.016483367918222913,0.25950618544542203,0.03157158214244751,0.0,-0.0404499574663042,IS,589
2026-01-09,L3,09:47:00,305.6008774492034,228.0,573.0,0.746071156284222,1.0,-0.4572813089965239,0.021875427306555284,0.3970767533874745,-0.06020455560904939,-0.3816797458793901,-0.008052258146334756,0.36298019203614557,-0.018699553843244534,IS,587
2026-01-09,L4,10:01:00,305.6008774492034,305.0,573.0,0.9980337836258233,1.0,-0.20369910584968365,0.15724375374612792,0.14349455024063426,-0.06020455560904939,-0.21197563063391217,0.1106908964878009,0.19327607679066763,-0.018699553843244534,IS,601
2026-01-09,L5,10:22:00,305.6008774492034,390.0,573.0,1.276174346275643,,-0.01797229012274331,-0.005633889193892629,0.009834704030744244,-0.06020455560904939,-0.05644687144296135,-0.0010109221481329686,0.03774731759971682,-0.018699553843244534,IS,622
2026-01-13,L3,11:23:00,319.3467500207765,244.0,251.0,0.7640597563123017,0.0,-0.4953797867147604,0.06660709242824808,0.40273105823460326,-0.09264872848015716,-0.41073876012308996,0.055479638913410345,0.39086572728695024,-0.03938889605428986,IS,683
2026-01-15,L3,13:19:00,336.78498130952454,240.0,313.0,0.7126208510450956,0.0,0.19431209057847532,0.15345465764986976,0.0,0.00032331712809047485,0.12411102147380543,0.11178928417518705,0.028719503774356142,0.016699354450979993,IS,799
2026-01-16,L3,10:39:00,334.51974499433175,241.0,379.0,0.7204357996987102,1.0,0.10776794617942537,0.06328933455703728,0.008127963402065203,-0.3269024003551979,0.17332223798598792,0.040357139355077704,0.008626849448217205,-0.28947488634429824,IS,639
