d,ema20,tk,p_entry,hold_pnl_pts,hold_pnl_pct,rem_min,W10_ddpeak,is_seg,early,ext_ok,take_A,take_B
2026-01-27,335.318420064236,10:07:00,32432.0,89.19469973708692,0.275020657798122,218,0.0694815862412674,IS,True,False,True,True
2026-01-28,334.43095148668976,13:22:00,32916.0,11.0,0.0334183983473083,23,0.0,IS,False,True,False,True
2026-01-29,328.2946703927193,09:39:00,32846.0,-87.32638232446334,-0.26586610949419515,246,0.2852988245232736,IS,True,False,True,True
2026-01-30,337.6951779743651,10:56:00,32346.0,-89.8269173411827,-0.2777064160674665,169,0.0245470545824908,IS,False,True,False,True
2026-02-02,346.86706578633033,12:42:00,31644.0,-34.0,-0.1074453292883327,63,0.2129158963078962,IS,False,False,False,False
2026-02-03,368.3082976162036,13:22:00,32252.0,9.0,0.027905246186283022,23,0.2213578683342966,IS,False,False,False,False
2026-02-04,375.326554986089,09:31:00,32306.0,-99.83686362630033,-0.30903505115551394,254,0.0,IS,True,True,True,True
2026-02-06,380.28772414961026,09:52:00,31515.0,101.15653462379487,0.3209790088015068,233,0.0,IS,True,True,True,True
2026-02-10,399.00196920183515,12:06:00,33166.0,106.13452380769013,0.32001002173216586,99,0.1020840302059852,IS,False,False,False,False
2026-02-11,401.9541626111842,10:02:00,33558.0,106.91980725457688,0.3186119770384912,223,0.0669677322678437,IS,True,False,True,True
2026-02-23,418.0537661720238,08:45:00,34315.0,-111.20230180175713,-0.324063242901813,300,,IS,True,False,True,True
2026-02-24,442.1438836794501,09:21:00,34440.0,117.61027305873722,0.3414932434922684,264,0.0,IS,True,True,True,True
2026-02-25,481.5587519004548,10:05:00,35398.0,128.09462800552137,0.36186967626849365,220,0.0400090339460822,IS,True,False,True,True
2026-02-26,503.50553743374485,10:47:00,35705.0,-133.9324729573782,-0.3751084524783033,178,0.0209802776415691,IS,False,True,False,True
2026-03-02,494.3145338686263,09:04:00,35076.0,131.4876660090522,0.37486505305351864,281,,OOS,True,False,True,True
2026-03-04,567.0601966588981,09:00:00,33599.0,-150.83801231126563,-0.4489360168792691,285,,OOS,True,False,True,True
2026-03-05,607.054463643765,10:47:00,33837.0,-161.47648732924426,-0.47721868761782743,178,0.4458172988942743,OOS,False,False,False,False
2026-03-06,635.1445147253112,10:13:00,33753.0,-168.94844091693085,-0.5005434803333951,212,0.0,OOS,True,True,True,True
2026-03-09,631.0355133229006,09:02:00,31554.0,167.85544654389014,0.5319624977622176,283,,OOS,True,False,True,True
2026-03-10,664.9368930064338,13:05:00,32851.0,-176.8732135397113,-0.5384104396813226,40,0.3738228020002524,OOS,False,False,False,False
2026-03-11,692.5619508153449,10:17:00,33775.0,184.22147891687928,0.5454373913157048,208,0.0,OOS,True,True,True,True
2026-03-13,703.5484449985023,09:19:00,33166.0,187.14388636960211,0.5642642657227345,266,0.0,OOS,True,True,True,True
2026-03-20,640.4266919726879,10:53:00,33842.0,-170.35350006473163,-0.5033789376063225,172,0.0850412873970258,OOS,False,False,False,False
2026-03-23,628.67176892767,09:14:00,32666.0,167.22669053475693,0.5119288879408465,271,,OOS,True,False,True,True
2026-03-24,633.2744576012252,10:24:00,32778.0,-168.45100572192678,-0.5139148383730757,201,0.2762952175809382,OOS,True,False,True,True
2026-03-27,653.0065332779186,12:56:00,33135.0,-15.0,-0.04526935264825713,49,0.007841814468319,OOS,False,True,False,True
2026-03-30,647.101149156212,09:35:00,32463.0,-172.12890567555223,-0.5302310497352439,250,0.0090634480094911,OOS,True,True,True,True
2026-03-31,650.7105635222871,09:37:00,32422.0,-173.08900989692847,-0.5338628397289756,248,0.0,OOS,True,True,True,True
2026-04-01,650.1667003296883,12:52:00,33372.0,30.0,0.08989572096368213,53,0.0810541520207613,OOS,False,False,False,False
2026-04-08,664.5832412872619,10:00:00,34966.0,30.0,0.0857976319853572,225,0.0,OOS,True,True,True,True
