date,session_open,vwap_t1,vwap_t2,or_high,or_low,brk_time,day_low,max_decline,EmaHL,reach_ratio,L2,L3,L4,L5
2023-02-03,15581.0,15539.325453918029,15355.225966787804,15588.0,15531.0,09:09:00,15488.0,100.0,138.88455567048734,0.7200224641050551,1.0,1.0,0.0,0.0
2023-02-10,15596.0,15575.34117542928,15565.618825891177,15598.0,15537.0,09:14:00,15520.0,78.0,127.91079882969058,0.6097999599224978,1.0,0.0,0.0,0.0
2023-02-14,15633.0,15488.806311291859,15561.169306704776,15648.0,15622.0,08:58:00,15588.0,60.0,122.47573328235441,0.48989296403456967,0.0,0.0,0.0,0.0
2023-03-02,15596.0,15457.864220561336,15594.302955600771,15618.0,15552.0,08:58:00,15435.0,183.0,143.34012481853833,1.2766836936389525,1.0,1.0,1.0,0.0
2023-03-06,15730.0,15618.534781220842,15529.249726930204,15773.0,15716.0,09:02:00,15692.0,81.0,142.82037428456312,0.5671459720348525,1.0,0.0,0.0,0.0
2023-03-09,15855.0,15771.785952910173,15828.595712793496,15862.0,15841.0,09:00:00,15751.0,111.0,137.63707452951283,0.8064687539998449,1.0,1.0,0.0,0.0
2023-03-20,15454.0,15367.097246886815,15232.96979205492,15470.0,15438.0,09:02:00,15352.0,125.0,141.9872347300489,0.8803608312934214,1.0,1.0,0.0,0.0
2023-03-21,15464.0,15401.527904378068,15367.097246886815,15474.0,15452.0,08:59:00,15425.0,77.0,140.3694028509966,0.5485525936285146,1.0,0.0,0.0,0.0
2023-03-24,15878.0,15777.018050747085,15668.893528551987,15884.0,15866.0,09:02:00,15806.0,78.0,142.0915380795795,0.5489419078306794,1.0,0.0,0.0,0.0
2023-03-30,15822.0,15728.359304947262,15719.163136499787,15845.0,15811.0,09:05:00,15761.0,101.0,139.01901642869424,0.7265193107721706,1.0,1.0,0.0,0.0
2023-04-12,15957.0,15908.345170367276,15868.704940553092,15960.0,15943.0,09:01:00,15866.0,94.0,122.72179726586204,0.7659600991367514,1.0,1.0,0.0,0.0
2023-04-17,15920.0,15919.517830189767,15856.416127690154,15924.0,15896.0,08:58:00,15877.0,53.0,119.73942419247896,0.44262781750815383,0.0,0.0,0.0,0.0
2023-04-18,15931.0,15922.289078603542,15919.517830189767,15952.0,15928.0,09:01:00,15862.0,101.0,117.57376474557621,0.8590351786264477,1.0,1.0,0.0,0.0
2023-05-02,15628.0,15542.334512834472,15391.586163478018,15641.0,15608.0,08:59:00,15551.0,90.0,133.09411792237577,0.6762132046473348,1.0,0.0,0.0,0.0
2023-05-08,15758.0,15635.85205792683,15558.240803007731,15763.0,15735.0,09:01:00,15704.0,72.0,125.87822225184945,0.5719813857550896,1.0,0.0,0.0,0.0
2023-05-18,16026.0,15800.641620011584,15658.513895039116,16040.0,15994.0,09:07:00,15960.0,80.0,134.1196334470672,0.5964823936949804,1.0,0.0,0.0,0.0
2023-05-19,16153.0,16029.205398938333,15800.641620011584,16161.0,16125.0,09:00:00,16068.0,93.0,133.2510969282989,0.6979304646928527,1.0,0.0,0.0,0.0
2023-05-23,16149.0,16124.482290672451,16115.062542197726,16179.0,16140.0,08:58:00,16072.0,107.0,123.47312016126055,0.8665853738874822,1.0,1.0,0.0,0.0
2023-05-29,16607.0,16410.549223662976,16184.046825429106,16633.0,16605.0,09:01:00,16543.0,90.0,117.8156863268681,0.7639050690610399,1.0,1.0,0.0,0.0
2023-06-05,16750.0,16660.649181770408,16463.561581210623,16754.0,16691.0,08:59:00,16657.0,107.0,119.46358258482631,0.8956704435347365,1.0,1.0,0.0,0.0
2023-06-08,16852.0,16846.14529576797,16728.037756329777,16856.0,16835.0,08:59:00,16667.0,200.0,119.11529132375809,1.6790455513926874,1.0,1.0,1.0,1.0
2023-06-12,16954.0,16847.866641370656,16769.947132990314,16956.0,16934.0,09:01:00,16907.0,68.0,124.55015911083146,0.545964778250423,1.0,0.0,0.0,0.0
2023-06-15,17250.0,17194.737155824943,17184.605923317595,17263.0,17238.0,09:05:00,17230.0,69.0,124.11743238755997,0.5559251321324926,1.0,0.0,0.0,0.0
2023-07-05,17086.0,17053.93233540041,16991.512650011922,17098.0,17073.0,09:05:00,16975.0,123.0,132.87817734961817,0.9256598973085888,1.0,1.0,0.0,0.0
2023-07-14,17219.0,17172.055935241722,16879.591114573224,17224.0,17187.0,09:01:00,17143.0,81.0,148.79859577467246,0.5443599758337726,1.0,0.0,0.0,0.0
2023-07-25,17091.0,16956.259706990728,16905.84162941586,17110.0,17077.0,08:58:00,17054.0,78.0,159.41647950658108,0.4892844217951757,0.0,0.0,0.0,0.0
2023-07-26,17206.0,17150.59218763492,16956.259706990728,17208.0,17163.0,09:00:00,17078.0,130.0,160.51967193452575,0.8098695844147102,1.0,1.0,0.0,0.0
2023-08-08,17020.0,16943.594323873123,16795.475263517572,17026.0,16968.0,09:00:00,16757.0,269.0,183.80271383572233,1.4635257248727274,1.0,1.0,1.0,1.0
2023-08-18,16422.0,16363.585062606784,16358.307066972939,16430.0,16404.0,09:07:00,16320.0,221.0,192.9792345188493,1.1452009360023332,1.0,1.0,1.0,0.0
2023-08-21,16424.0,16414.112300280263,16363.585062606784,16474.0,16422.0,09:10:00,16325.0,149.0,195.64787885038746,0.7615722740032401,1.0,1.0,0.0,0.0
2023-08-22,16495.0,16386.57886705253,16414.112300280263,16506.0,16480.0,09:04:00,16380.0,127.0,191.20522372177913,0.664207794787011,1.0,0.0,0.0,0.0
2023-08-24,16788.0,16501.45672929487,16432.801324426506,16792.0,16728.0,09:04:00,16670.0,128.0,182.31992236635438,0.702062606974987,1.0,0.0,0.0,0.0
2023-08-29,16578.0,16504.896417558062,16512.50436053788,16581.0,16559.0,09:00:00,16453.0,128.0,168.03156759646095,0.761761625097735,1.0,1.0,0.0,0.0
2023-10-11,16829.0,16520.76978820751,16420.745079566866,16829.0,16766.0,08:59:00,16662.0,167.0,136.27858418672966,1.2254309875363518,1.0,1.0,1.0,0.0
2023-10-12,16768.0,16724.544052385318,16520.76978820751,16797.0,16765.0,09:00:00,16725.0,72.0,139.20443331180303,0.5172249064706704,1.0,0.0,0.0,0.0
2023-11-06,16680.0,16489.230599450246,16340.987479100873,16683.0,16644.0,09:04:00,16626.0,96.0,141.79525407205432,0.6770325327758634,1.0,0.0,0.0,0.0
2023-11-08,16725.0,16666.701155624036,16686.605236145828,16737.0,16713.0,08:59:00,16687.0,71.0,136.18613768710114,0.5213452793787893,1.0,0.0,0.0,0.0
2023-11-13,16969.0,16679.0709147639,16740.45747935368,16985.0,16955.0,09:00:00,16836.0,149.0,128.2832003450844,1.1614926942825483,1.0,1.0,1.0,0.0
2023-11-14,16956.0,16898.503080208888,16679.0709147639,16967.0,16937.0,09:13:00,16912.0,55.0,130.2562288836478,0.42224468243379826,0.0,0.0,0.0,0.0
2023-11-15,17190.0,16948.18941788154,16898.503080208888,17214.0,17181.0,09:00:00,17094.0,120.0,123.9461118471099,0.9681626814403221,1.0,1.0,0.0,0.0
2023-11-20,17227.0,17213.626347256122,17162.15817716503,17288.0,17215.0,09:00:00,17154.0,134.0,120.16525009818884,1.1151310373881516,1.0,1.0,1.0,0.0
2023-11-24,17330.0,17273.691174875243,17298.671755608535,17350.0,17326.0,09:14:00,17265.0,85.0,118.38061074370282,0.7180229892885691,1.0,1.0,0.0,0.0
2023-11-30,17400.0,17381.932324830686,17319.98918461609,17416.0,17383.0,09:00:00,17291.0,125.0,132.95077448558007,0.9401976068485226,1.0,1.0,0.0,0.0
2023-12-04,17465.0,17372.956138699596,17364.785169200353,17487.0,17462.0,09:06:00,17376.0,115.0,136.74655235667666,0.8409718418351416,1.0,1.0,0.0,0.0
2023-12-11,17436.0,17414.67417782496,17313.094631671585,17457.0,17416.0,09:01:00,17350.0,107.0,125.2394300591035,0.8543635175399962,1.0,1.0,0.0,0.0
2023-12-12,17518.0,17394.830057109433,17414.67417782496,17545.0,17513.0,09:05:00,17427.0,118.0,123.50234148204602,0.9554474723635429,1.0,1.0,0.0,0.0
2023-12-13,17491.0,17481.619978559305,17394.830057109433,17511.0,17474.0,08:59:00,17426.0,93.0,122.9783089599464,0.7562309222375937,1.0,1.0,0.0,0.0
2023-12-15,17771.0,17642.22427715831,17473.381372202683,17775.0,17745.0,09:00:00,17672.0,103.0,117.8257812574618,0.8741720097313346,1.0,1.0,0.0,0.0
