strategy,mode,fraction,period,n_trades,wr,ev_pts,ev_pct,pf,total_pts
S003,with_satreach,0.95,IS,39,46.15384615384615,2.7435897435897436,0.018810795759786593,1.1042884990253412,107.0
S003,with_satreach,0.95,OOS,35,51.42857142857142,10.82857142857143,0.025416690177657183,1.3174204355108878,379.0
S003,with_satreach,0.95,2022,16,56.25,20.0625,0.11045214383458231,2.420353982300885,321.0
S003,with_satreach,0.95,2023,6,33.33333333333333,-4.5,-0.028892243946844597,0.7567567567567568,-27.0
S003,with_satreach,0.95,2024,17,41.17647058823529,-11.0,-0.050603517825915996,0.7285921625544267,-187.0
S003,with_satreach,0.95,2025,26,46.15384615384615,-5.8076923076923075,-0.026696891947462557,0.8264367816091954,-151.0
S003,with_satreach,0.95,2026,9,66.66666666666666,58.888888888888886,0.17596703853911422,2.6358024691358026,530.0
S003,with_satreach,1.0,IS,39,46.15384615384615,5.0,0.03155976717199064,1.1900584795321638,195.0
S003,with_satreach,1.0,OOS,35,51.42857142857142,12.114285714285714,0.030291636608806197,1.355108877721943,424.0
S003,with_satreach,1.0,2022,16,56.25,20.1875,0.11166772889166326,2.4292035398230087,323.0
S003,with_satreach,1.0,2023,6,33.33333333333333,-2.1666666666666665,-0.009932030435101366,0.8828828828828829,-13.0
S003,with_satreach,1.0,2024,17,41.17647058823529,-6.764705882352941,-0.029191797644021734,0.8330914368650217,-115.0
S003,with_satreach,1.0,2025,26,46.15384615384615,-4.769230769230769,-0.022325935340146222,0.8574712643678161,-124.0
S003,with_satreach,1.0,2026,9,66.66666666666666,60.888888888888886,0.18229795557244652,2.691358024691358,548.0
S003,no_satreach,0.8,IS,39,51.28205128205128,0.5641025641025641,0.010912149382653636,1.0230366492146596,22.0
S003,no_satreach,0.8,OOS,35,57.14285714285714,17.0,0.055266447588486076,1.5360360360360361,595.0
S003,no_satreach,0.8,2022,16,68.75,19.1875,0.11319726680514897,2.7443181818181817,307.0
S003,no_satreach,0.8,2023,6,16.666666666666664,-9.666666666666666,-0.06185401398046852,0.4423076923076923,-58.0
S003,no_satreach,0.8,2024,17,47.05882352941176,-13.352941176470589,-0.059674021122122355,0.6637037037037037,-227.0
S003,no_satreach,0.8,2025,26,53.84615384615385,2.5384615384615383,0.012024617237863704,1.089795918367347,66.0
S003,no_satreach,0.8,2026,9,66.66666666666666,58.77777777777778,0.1801872908236174,2.4106666666666667,529.0
S003,no_satreach,0.85,IS,39,51.28205128205128,2.1794871794871793,0.015325671532312355,1.0889121338912133,85.0
S003,no_satreach,0.85,OOS,35,48.57142857142857,7.6,0.01256447211142915,1.2128,266.0
S003,no_satreach,0.85,2022,16,68.75,15.1875,0.08557052147041624,2.3806818181818183,243.0
S003,no_satreach,0.85,2023,6,33.33333333333333,-5.833333333333333,-0.037577576230025174,0.6153846153846154,-35.0
S003,no_satreach,0.85,2024,17,41.17647058823529,-7.235294117647059,-0.03211539390507806,0.8214804063860668,-123.0
S003,no_satreach,0.85,2025,26,46.15384615384615,-9.961538461538462,-0.044433091205890965,0.7022988505747126,-259.0
S003,no_satreach,0.85,2026,9,55.55555555555556,58.333333333333336,0.17722409947257614,2.3815789473684212,525.0
S003,no_satreach,0.9,IS,39,51.28205128205128,4.743589743589744,0.031172446309306066,1.1935146443514644,185.0
S003,no_satreach,0.9,OOS,35,51.42857142857142,7.257142857142857,0.01713030313197918,1.2127303182579565,254.0
S003,no_satreach,0.9,2022,16,68.75,19.375,0.1125230497479237,2.7613636363636362,310.0
S003,no_satreach,0.9,2023,6,33.33333333333333,-1.1666666666666667,-0.009962529974822712,0.9230769230769231,-7.0
S003,no_satreach,0.9,2024,17,41.17647058823529,-6.9411764705882355,-0.030874600591465066,0.8287373004354136,-118.0
S003,no_satreach,0.9,2025,26,46.15384615384615,-4.576923076923077,-0.019889310763398386,0.8632183908045977,-119.0
S003,no_satreach,0.9,2026,9,66.66666666666666,41.44444444444444,0.12407585438529217,2.1512345679012346,373.0
S003,no_satreach,0.95,IS,39,46.15384615384615,2.7435897435897436,0.018810795759786593,1.1042884990253412,107.0
S003,no_satreach,0.95,OOS,35,51.42857142857142,10.82857142857143,0.025416690177657183,1.3174204355108878,379.0
S003,no_satreach,0.95,2022,16,56.25,20.0625,0.11045214383458231,2.420353982300885,321.0
S003,no_satreach,0.95,2023,6,33.33333333333333,-4.5,-0.028892243946844597,0.7567567567567568,-27.0
S003,no_satreach,0.95,2024,17,41.17647058823529,-11.0,-0.050603517825915996,0.7285921625544267,-187.0
S003,no_satreach,0.95,2025,26,46.15384615384615,-5.8076923076923075,-0.026696891947462557,0.8264367816091954,-151.0
S003,no_satreach,0.95,2026,9,66.66666666666666,58.888888888888886,0.17596703853911422,2.6358024691358026,530.0
S003,no_satreach,1.0,IS,39,46.15384615384615,5.0,0.03155976717199064,1.1900584795321638,195.0
S003,no_satreach,1.0,OOS,35,51.42857142857142,12.114285714285714,0.030291636608806197,1.355108877721943,424.0
S003,no_satreach,1.0,2022,16,56.25,20.1875,0.11166772889166326,2.4292035398230087,323.0
S003,no_satreach,1.0,2023,6,33.33333333333333,-2.1666666666666665,-0.009932030435101366,0.8828828828828829,-13.0
S003,no_satreach,1.0,2024,17,41.17647058823529,-6.764705882352941,-0.029191797644021734,0.8330914368650217,-115.0
S003,no_satreach,1.0,2025,26,46.15384615384615,-4.769230769230769,-0.022325935340146222,0.8574712643678161,-124.0
S003,no_satreach,1.0,2026,9,66.66666666666666,60.888888888888886,0.18229795557244652,2.691358024691358,548.0
