trade_date,list_month,total_value,top1_value,top1_share,top5_value,top5_share,top10_value,top10_share,top20_value,top20_share,top1_ma20,top1_std20,top1_dev_pct,top1_zscore,top5_ma20,top5_std20,top5_dev_pct,top5_zscore,top10_ma20,top10_std20,top10_dev_pct,top10_zscore,top20_ma20,top20_std20,top20_dev_pct,top20_zscore,list_changed,tx_open,tx_close,tx_high,tx_low,tx_dir,tx_range,weekday
2025-10-27,2025-09,515369448878,53691483433,10.4181,100277971917,19.4575,130197131292,25.2629,220502477982,42.7853,11.1708,1.9704,-6.7382,-0.382,22.2969,3.417,-12.7343,-0.831,30.3154,4.304,-16.6665,-1.1739,43.8384,5.2954,-2.4021,-0.1989,True,28284.0,28225.0,28291.0,28079.0,-0.0020859850091924765,0.007495403761844152,0
2025-10-28,2025-09,520896636929,51949405737,9.9731,115346508891,22.1438,155357693189,29.8251,221552925465,42.533,11.0039,1.9203,-9.3676,-0.5368,22.2255,3.4038,-0.3675,-0.024,30.1915,4.2794,-1.2137,-0.0856,44.0807,5.1065,-3.5111,-0.3031,True,28233.0,28002.0,28250.0,27984.0,-0.008181914780575922,0.00942159883823894,1
2025-10-29,2025-09,556677669048,49265956549,8.85,132254877967,23.7579,165039523318,29.6472,249784450026,44.8706,11.0562,1.8412,-19.9542,-1.1982,22.4662,3.329,5.7497,0.388,30.3901,4.149,-2.4444,-0.179,44.6787,4.3781,0.4296,0.0438,True,28225.0,28412.0,28446.0,28203.0,0.00662533215234721,0.008609388839681134,2
2025-10-30,2025-09,591230665987,45379071459,7.6754,129054236261,21.8281,175697736127,29.7173,269730490006,45.6219,11.0183,1.9047,-30.3396,-1.7551,22.5119,3.3128,-3.0375,-0.2064,30.4809,4.1114,-2.5051,-0.1857,45.094,4.0224,1.1707,0.1312,True,28430.0,28398.0,28552.0,28181.0,-0.0011255715793176222,0.013049595497713683,3
2025-10-31,2025-09,543676764043,51073519270,9.3941,114836570259,21.1222,145304402918,26.7262,231438630573,42.5692,10.7987,1.82,-13.0068,-0.7717,22.3264,3.2797,-5.3938,-0.3672,30.0941,4.0809,-11.1912,-0.8253,45.0529,4.0448,-5.5129,-0.6141,True,28478.0,28431.0,28588.0,28378.0,-0.0016503967975279163,0.007374113350656648,4
2025-11-03,2025-10,541693408869,46512471060,8.5865,129701054381,23.9436,173431791530,32.0166,251861201195,46.4952,10.6775,1.8847,-19.5829,-1.1094,22.5885,3.1829,5.9992,0.4257,30.3629,4.0181,5.4466,0.4116,44.8523,3.855,3.663,0.4262,True,28380.0,28340.0,28583.0,28229.0,-0.0014094432699083862,0.012473572938689217,0
2025-11-04,2025-10,564544315100,54169421541,9.5952,136843212049,24.2396,169256227723,29.981,247841785922,43.9012,10.6836,1.8808,-10.1877,-0.5787,22.8038,3.1392,6.2964,0.4574,30.2589,3.9987,-0.9184,-0.0695,44.4878,3.5574,-1.3186,-0.1649,True,28410.0,28117.0,28594.0,28113.0,-0.010313269975360789,0.016930658218936995,1
2025-11-05,2025-10,555855645174,93109323845,16.7506,186657043472,33.5801,226460258680,40.7408,301862982345,54.306,10.9831,2.3194,52.5121,2.4866,23.4619,3.9001,43.1259,2.5943,30.6346,4.6,32.9896,2.197,44.753,4.0721,21.346,2.346,True,27710.0,27805.0,27850.0,27415.0,0.003428365211115121,0.015698303861421868,2
2025-11-06,2025-10,481464434312,44104541986,9.1605,120184262382,24.9622,150493729789,31.2575,224519779211,46.6327,10.8632,2.3499,-15.6743,-0.7246,23.6094,3.8982,5.7298,0.347,30.6886,4.6007,1.8537,0.1236,44.712,4.0475,4.2958,0.4746,True,28010.0,28034.0,28141.0,27903.0,0.0008568368439842913,0.00849696536951089,3
2025-11-07,2025-10,449900668689,34382089105,7.6422,97822865578,21.7432,121644784430,27.0381,185501025177,41.2316,10.7954,2.4249,-29.209,-1.3003,23.8564,3.5886,-8.8578,-0.5889,30.7721,4.5134,-12.1343,-0.8273,44.8132,3.926,-7.9924,-0.9123,True,27777.0,27730.0,27838.0,27596.0,-0.001692047377326565,0.008712243942830399,4
