d,ema20,dn_full,s_thr_09:01,s_B_09:01,dn_09:01,s_thr_09:05,s_B_09:05,dn_09:05,s_thr_09:10,s_B_09:10,dn_09:10,s_thr_09:15,s_B_09:15,dn_09:15,s_thr_09:20,s_B_09:20,dn_09:20,s_thr_09:25,s_B_09:25,dn_09:25,s_thr_09:30,s_B_09:30,dn_09:30,comp_09:01,comp_09:05,comp_09:10,comp_09:15,comp_09:20,comp_09:25,comp_09:30,dn_exc
2026-01-14,348.5518214473692,217.0,-0.030924417407251062,-0.6400911161731208,104.0,-0.01087067244891281,-0.6065057712486883,111.0,-0.05583020852067844,-0.5376782077393075,129.0,-0.05927500601879972,-0.536318407960199,129.0,-0.08225193009722927,-0.57801766437684,129.0,-0.052500566977596044,-0.5584795321637427,129.0,-0.10209116867143403,-0.5640038498556305,129.0,-1.3180755139664164,-1.0478588130486173,-1.435706597905905,-1.502261843758701,-1.853068894588516,-1.6433752229285608,-2.07238383423064,0.6225760034731784
2026-01-15,336.78498130952454,198.0,0.03063206492812539,-0.09806157354618016,54.0,-0.03361213509625284,-0.10407725321888411,58.0,-0.0010840722918154795,-0.016546018614270942,79.0,-0.02176053643940603,0.017154389505549948,79.0,-0.027447364326292165,0.070873786407767,96.0,-0.03142218659961589,0.09230769230769231,98.0,-0.07222273241506323,0.12476370510396975,98.0,1.0077529922504949,-0.08006115965544364,0.3091327438190276,0.1500938008734302,0.16745711524734677,0.12301362851831205,-0.1383953864520942,0.5879122021122039
2026-01-16,334.51974499433175,267.0,0.031915501990233505,-0.3756906077348066,91.0,0.18311898816256877,-0.3038906414300736,219.0,0.16584677046362553,-0.25101214574898784,219.0,0.17794217433959014,-0.08383233532934131,219.0,0.1691129329115078,-0.02753195673549656,224.0,0.19422351655059492,0.0769980506822612,267.0,0.22592003021065818,0.11089681774349083,267.0,0.3951181710498203,1.7076218282040705,1.1750320651361617,1.4063471003555672,1.3058338316872153,1.5410917838012295,1.7516638898426686,0.7981591639815586
2026-01-19,338.75595975677635,170.0,0.012845975395440907,0.1358921161825726,68.0,0.02626951768935444,0.1761194029850746,68.0,0.01575052332301174,0.011753183153770812,79.0,0.018553328945332882,-0.13870029097963144,79.0,-0.07112011749745817,-0.12030798845043311,79.0,-0.0722313017816804,-0.17353787152444872,79.0,-0.0907732149558526,-0.24003795066413663,79.0,1.2294226560861692,1.2187443729460785,0.5233470431089945,0.06851015960067004,-0.6219641189521417,-0.8063797047173697,-1.1803540099044592,0.5018361894564406
2026-01-20,360.39824930375005,167.0,0.017112024558894257,0.34017278617710583,167.0,-0.15857705538153047,0.2589928057553957,167.0,-0.12630050307331153,0.10251256281407035,167.0,-0.23393910847752883,0.05148514851485148,167.0,-0.2615733418589484,0.09295499021526418,167.0,-0.3188032658649568,0.059961315280464215,167.0,-0.2791976593496835,0.05268199233716475,167.0,1.7720886526541362,-0.5160248476014007,-0.4791786595965597,-1.365173407834201,-1.4280399439685132,-1.8129227268309616,-1.6570507534845325,0.4633762797755697
2026-01-21,365.50317794148816,425.0,-0.06301364977366287,0.5133630289532294,63.0,-0.04093790115106988,0.44139387539598735,63.0,-0.020767628024435804,0.47963340122199594,72.0,-0.025643181474367813,0.5014955134596212,77.0,-0.019698505321433853,0.4606413994169096,77.0,-0.04804434344375783,0.36590038314176243,77.0,-0.08008871956262721,0.3222748815165877,77.0,0.7553487956947147,1.1522875285998961,1.3515628506560289,1.319191488911762,1.2036134527329676,0.7011244099521169,0.31009997553324753,1.1627805875549362
2026-01-22,371.16954194706074,274.0,-0.03511230236946193,-0.7809633027522935,75.0,0.016876970648299218,-0.7301587301587301,93.0,0.02484548359421535,-0.6774193548387096,93.0,0.05815783643603166,-0.6696165191740413,93.0,0.14437262656859706,-0.6382153249272551,108.0,0.11787327726052026,-0.5913461538461539,108.0,0.07612563880948559,-0.5143129770992366,108.0,-1.7142722945923112,-1.0543297051459506,-1.0817823480767341,-0.9464184468054921,-0.4064578852178724,-0.626032985588922,-0.7960217068807578,0.7382071237921783
2026-01-23,361.91529985686446,283.0,0.015985206936906787,-0.5545134818288394,62.0,0.02029163544140505,-0.4472843450479233,62.0,0.07104069394302705,-0.3983656792645557,65.0,0.13890307626338796,-0.29673590504451036,85.0,0.18808955934997754,-0.188050930460333,106.0,0.24683552291542768,-0.12778315585672798,178.0,0.27462071865807514,0.029836381135707413,266.0,-0.2949968232903571,-0.3397881507527139,-0.0019870291914085847,0.5851455859541157,1.0354430036625533,1.367662769413774,1.8612133913780606,0.7819509153437972
2026-01-26,355.3519379657345,144.0,-0.012135884497327965,-0.33370165745856356,110.0,-0.08693454885705615,-0.3450413223140496,112.0,-0.12001927168401255,-0.1716867469879518,112.0,-0.15285862649121182,-0.14906219151036526,112.0,-0.09582460145570551,-0.10700389105058365,112.0,-0.09097350708752235,-0.13018322082931533,112.0,-0.020124418958985542,-0.11596958174904944,112.0,-0.2856581026039635,-1.2161042957209267,-1.0948600200386962,-1.2498837671653857,-0.7626826506757819,-0.8187402320509878,-0.41054248178128394,0.4052320660592133
2026-01-27,335.318420064236,147.0,0.07458618447560393,-0.4135593220338983,116.0,0.09114035564215323,-0.3754010695187166,116.0,0.049093135525238224,-0.24148606811145512,116.0,0.08775749148912755,-0.1743486973947896,119.0,0.05299803698569727,-0.12696850393700787,138.0,-0.03821493123169487,-0.12062256809338522,147.0,-0.011048350882790636,-0.09326923076923077,147.0,1.0609733427053614,0.5738463245793193,0.1920890175989149,0.5022316681905034,0.2365687077876229,-0.45425854386602704,-0.2945541951649336,0.4383892777850964
