date,session_open,vwap_t1,vwap_t2,or_low,brk_time,brk_close,day_low,max_decline,fwd_mfe,EmaHL,reach_sw,reach_fwd,L3,L4,L3_f,L4_f
2022-04-25,16686.0,16920.087270198168,17157.592172275065,16669.0,09:09:00,16657.0,16508.0,226.0,149.0,169.32490463513113,1.3347121056231799,0.8799650607869637,1.0,1.0,1.0,0.0
2022-05-06,16310.0,16711.492479865858,16533.661035029552,16291.0,09:15:00,16290.0,16266.0,80.0,24.0,158.20895160713872,0.5056603889181592,0.15169811667544778,0.0,0.0,0.0,0.0
2022-05-09,16156.0,16317.5270219475,16711.492479865858,16152.0,08:58:00,16143.0,16015.0,179.0,128.0,153.9985752636017,1.1623484158447763,0.8311765208275496,1.0,1.0,1.0,0.0
2022-05-10,15809.0,16089.156777646262,16317.5270219475,15799.0,08:58:00,15797.0,15730.0,120.0,67.0,156.37966333373487,0.7673632072215435,0.4284444573653618,1.0,0.0,0.0,0.0
2022-05-25,15996.0,16045.233082706767,16171.391474162443,15987.0,09:06:00,15978.0,15968.0,94.0,10.0,171.8104656850602,0.5471145172978469,0.05820367205296244,0.0,0.0,0.0,0.0
2022-06-02,16536.0,16672.003125794694,16582.160371470887,16490.0,09:02:00,16489.0,16471.0,84.0,18.0,183.71690459422695,0.4572252084560736,0.09797683038344435,0.0,0.0,0.0,0.0
2022-06-07,16520.0,16562.786101238395,16529.824063261574,16482.0,09:02:00,16481.0,16406.0,125.0,75.0,177.83175183336945,0.702911593184588,0.4217469559107528,0.0,0.0,0.0,0.0
2022-06-13,16115.0,16429.116977850776,16574.35860184549,16052.0,09:05:00,16050.0,15993.0,127.0,57.0,158.75826291862208,0.7999583622623722,0.35903643030673393,1.0,0.0,0.0,0.0
2022-06-20,15182.0,15220.944582653507,15604.072764336424,15177.0,09:02:00,15166.0,14966.0,265.0,200.0,180.6829826330292,1.4666572144108356,1.106911105215725,1.0,1.0,1.0,1.0
2022-06-23,15059.0,15118.979485260877,15246.887645720044,15052.0,09:04:00,15048.0,14804.0,341.0,244.0,207.66770088326822,1.6420463969583743,1.1749540201109776,1.0,1.0,1.0,1.0
2022-06-30,14931.0,15042.967775911922,15182.94549506394,14883.0,09:00:00,14856.0,14610.0,335.0,246.0,206.77373857535835,1.620128369821537,1.1897062058988004,1.0,1.0,1.0,1.0
2022-07-01,14656.0,14719.826648682645,15042.967775911922,14636.0,08:59:00,14627.0,14128.0,574.0,499.0,218.98576347294326,2.6211749608595922,2.2786869433256736,1.0,1.0,1.0,1.0
2022-07-04,14236.0,14383.987375346524,14719.826648682645,14175.0,08:59:00,14174.0,14025.0,287.0,149.0,252.79664314218675,1.1352998854441885,0.589406560735833,1.0,1.0,0.0,0.0
