date,entry,exit,reason,pnl_pts,pnl_pct
2022-11-22,14405.0,14475.0,SL,-72.0,-0.49982644914960084
2022-11-29,14444.0,14527.0,SL,-85.0,-0.5884796455275547
2022-12-05,14886.0,14925.0,SL,-41.0,-0.27542657530565634
2022-12-08,14536.0,14496.0,TIME,38.0,0.26141992294991745
2022-12-23,14136.0,14176.0,SL,-42.0,-0.29711375212224106
2022-12-28,14140.0,14192.0,SL,-54.0,-0.3818953323903819
2023-02-06,15449.0,15405.0,TIME,42.0,0.2718622564567286
2023-02-13,15504.0,15533.0,TIME,-31.0,-0.19994840041279668
2023-02-22,15342.0,15370.0,SL,-30.0,-0.19554165037152915
2023-03-10,15568.0,15471.943750484801,TP,94.05624951519894,0.6041639871222954
2023-03-13,15435.0,15515.0,SL,-82.0,-0.5312601230968578
2023-03-14,15334.0,15372.0,SL,-40.0,-0.2608582235554976
2023-04-06,15720.0,15789.0,SL,-71.0,-0.4516539440203562
2023-04-20,15708.0,15741.0,SL,-35.0,-0.22281639928698754
2023-04-26,15369.0,15375.0,TIME,-8.0,-0.052052833626130515
2023-04-27,15328.0,15353.0,SL,-27.0,-0.1761482254697286
2023-05-10,15677.0,15593.095489379582,TP,81.90451062041757,0.5224501538586309
2023-05-12,15430.0,15455.0,SL,-27.0,-0.17498379779650033
2023-05-24,16037.0,16073.0,SL,-38.0,-0.2369520483881025
2023-06-26,16837.0,16904.0,SL,-69.0,-0.4098117241788917
2023-06-27,16777.0,16815.0,SL,-40.0,-0.23842164868570068
2023-07-21,16830.0,16886.0,SL,-58.0,-0.34462269756387404
2023-08-09,16804.0,16842.0,SL,-40.0,-0.238038562247084
2023-08-10,16745.0,16611.046987839163,TP,131.9530121608368,0.7880144052602974
2023-08-14,16481.0,16346.108772358137,TP,132.89122764186322,0.8063298807224272
2023-09-04,16631.0,16666.0,SL,-37.0,-0.2224760988515423
2023-09-20,16595.0,16625.0,SL,-32.0,-0.19282916541126846
2023-09-21,16407.0,16310.223618014777,TP,94.77638198522254,0.5776582067728564
2023-10-04,16250.0,16245.0,TIME,3.0,0.01846153846153846
2023-10-18,16592.0,16499.86657645719,TP,90.13342354281122,0.5432342306100001
2023-10-20,16340.0,16448.0,SL,-110.0,-0.6731946144430845
2023-10-23,16329.0,16362.0,SL,-35.0,-0.21434258068467144
2023-10-24,16228.0,16280.0,SL,-54.0,-0.3327581957111166
2023-11-28,17198.0,17239.0,SL,-43.0,-0.25002907314804046
2023-12-05,17271.0,17309.0,TIME,-40.0,-0.23160210757917896
2023-12-19,17586.0,17505.01837845548,TP,78.98162154452075,0.4491164650547068
2024-01-02,17829.0,17758.12371498714,TP,68.87628501285872,0.38631603013550236
2024-01-03,17630.0,17554.430123083606,TP,73.5698769163937,0.41729935857285133
2024-01-10,17463.0,17458.0,TIME,3.0,0.017179178835251677
2024-01-16,17377.0,17333.0,TIME,42.0,0.24169879726074697
2024-01-17,17286.0,17323.0,SL,-39.0,-0.22561610551891706
2024-03-12,19701.0,19733.0,SL,-34.0,-0.17258007207755952
2024-03-18,19766.0,19820.0,SL,-56.0,-0.28331478296063944
2024-03-27,20164.0,20216.0,SL,-54.0,-0.26780400714144015
2024-04-16,20236.0,20116.786160999698,TP,117.21383900030196,0.5792342310748269
2024-04-19,19777.0,19621.456519630377,TP,153.54348036962256,0.7763739716318074
2024-05-24,21433.0,21476.0,SL,-45.0,-0.20995660896748003
2024-05-30,21439.0,21514.0,SL,-77.0,-0.35915854284248333
2024-06-05,21346.0,21422.0,SL,-78.0,-0.3654080389768575
2024-06-24,22925.0,22759.458108426155,TP,163.54189157384462,0.7133779348913615
2024-06-25,22590.0,22415.508288576042,TP,172.4917114239579,0.7635755264451434
2024-07-02,22784.0,22863.0,SL,-81.0,-0.3555126404494382
2024-07-18,23255.0,23382.0,SL,-129.0,-0.5547194151795313
2024-07-19,23069.0,22855.964317734113,TP,211.03568226588686,0.9148020385187345
2024-07-22,22792.0,22576.772287473723,TP,213.22771252627717,0.9355375242465654
2024-07-26,21924.0,22049.0,SL,-127.0,-0.5792738551359241
2024-07-30,21908.0,22008.0,SL,-102.0,-0.4655833485484755
2024-08-21,22259.0,22320.0,SL,-63.0,-0.2830315827305809
2024-08-22,22207.0,22100.0,TIME,105.0,0.4728238843607871
2024-09-04,21032.0,21280.0,SL,-250.0,-1.1886648915937619
2024-10-22,23496.0,23563.0,SL,-69.0,-0.2936670071501532
2024-10-29,23056.0,22855.245644683047,TP,198.75435531695257,0.8620504654621467
2024-11-21,22539.0,22678.0,SL,-141.0,-0.6255823239717823
2024-11-26,22655.0,22787.0,SL,-134.0,-0.5914809092915472
2024-11-28,22293.0,22337.0,TIME,-46.0,-0.20634279818777193
2024-11-29,22015.0,22221.0,SL,-208.0,-0.9448103565750624
2024-12-18,22924.0,22960.0,SL,-38.0,-0.16576513697435002
2024-12-31,22967.0,23040.0,SL,-75.0,-0.32655549266338657
2025-01-13,22850.0,22678.10731374897,TP,169.89268625103068,0.7435128501139199
2025-02-14,23262.0,23179.0,TIME,81.0,0.34820737683776115
2025-02-20,23474.0,23564.0,SL,-92.0,-0.39192297861463743
2025-02-25,23192.0,23263.0,SL,-73.0,-0.3147637116246982
2025-02-26,23127.0,23175.0,SL,-50.0,-0.21619751805249274
2025-03-03,22630.0,22747.0,SL,-119.0,-0.5258506407423774
2025-03-10,22422.0,22520.0,SL,-100.0,-0.445990545000446
2025-03-11,21779.0,21947.0,SL,-170.0,-0.7805684374856513
2025-03-14,22020.0,21961.0,TIME,57.0,0.25885558583106266
2025-03-27,21971.0,21968.0,TIME,1.0,0.004551454189613582
2025-03-28,21699.0,21523.484394113406,TP,173.51560588659413,0.7996479371703495
2025-04-08,18431.0,18639.0,SL,-210.0,-1.139384732244588
2025-04-16,19524.0,19353.0,TIME,169.0,0.86560131120672
2025-04-17,19208.0,19341.0,SL,-135.0,-0.7028321532694711
2025-04-22,18898.0,18972.0,SL,-76.0,-0.40215895861995976
2025-05-19,21647.0,21538.0,TIME,107.0,0.49429482145331916
2025-05-26,21431.0,21385.0,TIME,44.0,0.20531006485931597
2025-05-27,21392.0,21215.09836468575,TP,174.9016353142506,0.8176030072655693
2025-06-19,21777.0,21704.0,TIME,71.0,0.32603205216512837
2025-06-20,21610.0,21653.0,TIME,-45.0,-0.20823692734844979
2025-06-23,21244.0,21398.0,SL,-156.0,-0.7343249858783657
2025-07-07,22328.0,22336.0,TIME,-10.0,-0.04478681476173414
2025-08-04,23073.0,23157.0,SL,-86.0,-0.3727300307718979
2025-08-15,24273.0,24355.0,SL,-84.0,-0.3460635273760969
2025-08-20,24044.0,23880.56769037185,TP,161.43230962815142,0.6714037166367968
2025-09-01,24110.0,24187.0,SL,-79.0,-0.32766486934881794
2025-09-26,25926.0,25757.191371132347,TP,166.80862886765317,0.6434028730527392
2025-10-22,27571.0,27703.0,SL,-134.0,-0.48601791737695405
2025-11-05,27578.0,27828.0,SL,-252.0,-0.9137718471245195
2025-11-14,27440.0,27519.0,SL,-81.0,-0.29518950437317787
2025-11-19,26756.0,26907.0,SL,-153.0,-0.5718343549110481
2025-12-12,28254.0,28329.0,SL,-77.0,-0.27252778367664754
2025-12-18,27494.0,27592.0,SL,-100.0,-0.36371571979340944
2026-01-09,30354.0,30136.717776133617,TP,215.282223866383,0.7092383997706496
2026-01-30,32423.0,32182.898728460226,TP,238.10127153977373,0.7343591633709827
2026-02-02,31801.0,31554.37751622592,TP,244.62248377408105,0.7692289040410083
2026-02-06,31400.0,31574.0,SL,-176.0,-0.5605095541401274
2026-03-20,33636.0,33559.0,TIME,75.0,0.22297538351765964
2026-03-31,31975.0,32265.0,SL,-292.0,-0.9132134480062549
2026-04-29,39345.0,39490.0,TIME,-147.0,-0.3736179946626001
2026-06-05,45400.0,44825.27669800672,TP,572.7233019932828,1.2615050704697859
