trade_date,exit_date,is_lc_hv,entry_adj,exit_adj,pnl_pts,ret_pct
2024-11-07,2024-12-19,True,23548.0,23215.0,-339.0,-1.4396127059622899
2024-11-08,2024-12-20,False,23797.0,23001.0,-802.0,-3.370172710845905
2024-11-11,2024-12-23,False,23589.0,23608.0,13.0,0.05511043282886091
2024-11-12,2024-12-24,False,22885.0,23582.0,691.0,3.019445051343675
2024-11-13,2024-12-25,False,22799.0,23695.0,890.0,3.9036799859642963
2024-11-14,2024-12-26,True,22700.0,23692.0,986.0,4.343612334801763
2024-11-15,2024-12-30,False,22775.0,23543.0,762.0,3.3457738748627883
2024-11-18,2024-12-31,False,22590.0,23407.0,811.0,3.590084108012395
2024-11-19,2025-01-02,False,22866.0,23208.0,336.0,1.4694305956441878
2024-11-20,2025-01-03,False,22792.0,23343.0,545.0,2.391189891189891
2024-11-21,2025-01-06,False,22592.0,23975.0,1377.0,6.09507790368272
2024-11-22,2025-01-07,False,23057.0,24118.0,1055.0,4.575616949299563
2024-11-25,2025-01-08,False,23085.0,23816.0,725.0,3.1405674680528484
2024-11-26,2025-01-09,False,22655.0,23471.0,810.0,3.5753696755683073
2024-11-27,2025-01-10,False,22366.0,23415.0,1043.0,4.6633282661182145
2024-11-28,2025-01-13,False,22356.0,22901.0,539.0,2.410985865092145
2024-11-29,2025-01-14,True,22332.0,23116.0,778.0,3.483790077019524
2024-12-02,2025-01-15,False,22846.0,22882.0,30.0,0.1313140155825965
2024-12-03,2025-01-16,False,23131.0,23401.0,264.0,1.1413254939259003
2024-12-04,2025-01-17,False,23313.0,23560.0,241.0,1.0337579891047914
2024-12-05,2025-01-20,False,23270.0,23716.0,440.0,1.8908465835840136
2024-12-06,2025-01-21,True,23198.0,23735.0,531.0,2.288990430209501
2024-12-09,2025-01-22,True,23268.0,24068.0,794.0,3.412411896166409
2024-12-10,2025-02-03,False,23109.0,22968.0,-147.0,-0.6361157990393354
2024-12-11,2025-02-04,False,22867.0,23192.0,319.0,1.3950233961604057
2024-12-12,2025-02-05,False,23126.0,23503.0,371.0,1.6042549511372481
2024-12-13,2025-02-06,False,23005.0,23660.0,649.0,2.8211258422082155
2024-12-16,2025-02-07,False,22980.0,23801.0,815.0,3.546562228024369
2024-12-17,2025-02-10,False,23050.0,23616.0,560.0,2.4295010845986984
2024-12-18,2025-02-11,True,23124.0,23705.0,575.0,2.486594014876319
2024-12-19,2025-02-12,False,23215.0,23685.0,464.0,1.9987077320697826
2024-12-20,2025-02-13,False,23001.0,23769.0,762.0,3.312899439154819
2024-12-23,2025-02-14,False,23608.0,23549.0,-65.0,-0.27533039647577096
2024-12-24,2025-02-17,False,23582.0,23874.0,286.0,1.2127894156560088
2024-12-25,2025-02-18,False,23695.0,24019.0,318.0,1.3420552859253008
2024-12-26,2025-02-19,False,23692.0,23981.0,283.0,1.1944960324160054
2024-12-30,2025-02-20,False,23543.0,23910.0,361.0,1.5333644820116383
2024-12-31,2025-02-21,False,23407.0,24117.0,704.0,3.0076472850002136
2025-01-02,2025-02-24,False,23208.0,23930.0,716.0,3.085143054119269
2025-01-03,2025-02-25,False,23343.0,23671.0,322.0,1.3794285224692626
2025-01-06,2025-02-26,False,23975.0,23793.0,-188.0,-0.7841501564129302
2025-01-07,2025-02-27,False,24118.0,23568.0,-556.0,-2.3053321170909693
2025-01-08,2025-03-03,False,23816.0,23090.0,-732.0,-3.073563990594558
2025-01-09,2025-03-04,False,23471.0,22960.0,-517.0,-2.202718248050786
2025-01-10,2025-03-05,False,23415.0,23260.0,-161.0,-0.6875934230194319
2025-01-13,2025-03-06,False,22901.0,23135.0,228.0,0.9955897122396402
2025-01-14,2025-03-07,False,23116.0,22892.0,-230.0,-0.9949818307665685
2025-01-15,2025-03-10,False,22882.0,22818.0,-70.0,-0.3059173149200245
2025-01-16,2025-03-11,True,23401.0,22403.0,-1004.0,-4.290414939532498
2025-01-17,2025-03-12,False,23560.0,22604.0,-962.0,-4.083191850594227
2025-01-20,2025-03-13,True,23716.0,22292.0,-1430.0,-6.029684601113173
2025-01-21,2025-03-14,False,23735.0,22333.0,-1408.0,-5.932167684853592
2025-01-22,2025-03-17,True,24068.0,22530.0,-1544.0,-6.415157055010804
2025-02-03,2025-03-18,False,22968.0,22602.0,-372.0,-1.619644723092999
