trade_date,nh,nl,nb,night_range,sma20,ema20,norm_sma,norm_ema,norm_sma_exp_med,norm_ema_exp_med
2023-09-26,16470.0,16368.0,840,102.0,109.1,116.1917485701642,0.9349220898258479,0.8778592391903434,0.9133165394885798,0.9341195177650017
2023-09-27,16343.0,16198.0,840,145.0,108.95,118.93539156348189,1.330885727397889,1.219149305298298,0.9133489461358314,0.9333663731746258
2023-09-28,16354.0,16226.0,840,128.0,111.6,119.79868760505504,1.1469534050179213,1.0684591171981996,0.9137865999837533,0.9341195177650017
2023-10-02,16448.0,16313.0,840,135.0,111.6,121.24643164266884,1.2096774193548387,1.1134348299656764,0.9142242538316753,0.9343248341641102
2023-10-03,16584.0,16457.0,840,127.0,112.5,121.79439053384324,1.1288888888888888,1.0427409623985127,0.9147316039221496,0.9345301505632186
2023-10-04,16444.0,16282.0,840,162.0,117.2,125.62349619728674,1.3822525597269624,1.2895676756646337,0.9152389540126239,0.9361807201147867
2023-10-05,16349.0,16215.0,840,134.0,119.35,126.42125846421182,1.1227482195224132,1.0599483158754792,0.9165668454273646,0.9378312896663549
2023-10-06,16484.0,16381.0,840,103.0,117.4,124.19066242000116,0.877342419080068,0.8293699219645329,0.9178947368421052,0.9382254283973974
2023-10-11,16668.0,16438.0,840,230.0,122.7,134.26774218952485,1.8744906275468622,1.7129952157484323,0.9165668454273646,0.9378312896663549
2023-10-12,16731.0,16646.0,840,85.0,123.3,129.57557626671297,0.689375506893755,0.6559878215400682,0.9178947368421052,0.9382254283973974
2023-10-13,16859.0,16676.0,840,183.0,128.45,134.66361662226413,1.4246788633709615,1.3589416695477667,0.9165668454273646,0.9378312896663549
2023-10-16,16784.0,16640.0,840,144.0,131.3,135.5527959915723,1.0967250571210967,1.0623167080150295,0.9178947368421052,0.9382254283973974
2023-10-17,16788.0,16637.0,840,151.0,133.05,137.02395827808922,1.134911687335588,1.1019970660426148,0.9179247762688528,0.9386195671284401
2023-10-18,16698.0,16556.0,840,142.0,136.65,137.4978670135093,1.0391511159897548,1.0327432932908578,0.9179548156956004,0.9386760980339874
2023-10-20,16578.0,16457.0,840,121.0,132.95,135.92664158365127,0.9101165851823995,0.8901860488146821,0.9180532157608174,0.9387326289395347
2023-10-23,16447.0,16294.0,840,153.0,135.75,137.55267571854162,1.12707182320442,1.112301154454214,0.9179548156956004,0.9386760980339874
2023-10-24,16348.0,16145.0,840,203.0,140.25,143.78575422153764,1.447415329768271,1.4118227574007653,0.9180532157608174,0.9387326289395347
2023-10-25,16420.0,16292.0,840,128.0,139.3,142.28234905758168,0.9188801148600143,0.8996196706606129,0.9181516158260343,0.9391585294717413
2023-10-26,16383.0,16208.0,840,175.0,142.0,145.39831581400247,1.232394366197183,1.2035902824614888,0.9185158653430243,0.9387326289395347
2023-10-27,16148.0,16033.0,840,115.0,143.3,142.5032381174308,0.8025122121423586,0.8069992059074014,0.9188801148600143,0.9391585294717413
2023-10-30,16177.0,16045.0,840,132.0,144.8,141.50292972529454,0.9116022099447513,0.9328428765132781,0.9185158653430243,0.9387326289395347
2023-10-31,16230.0,16122.0,840,108.0,142.95,138.31217451336173,0.7555089192025184,0.7808423255580195,0.9181516158260343,0.9386760980339874
2023-11-01,16088.0,15994.0,840,94.0,141.25,134.09196741685108,0.6654867256637168,0.7010114163496657,0.9180532157608174,0.9386195671284401
2023-11-02,16219.0,16034.0,840,185.0,143.75,138.94035147238907,1.2869565217391303,1.3315066360456425,0.9179548156956004,0.9382254283973974
2023-11-03,16510.0,16381.0,840,129.0,143.85,137.99365133216153,0.8967674661105318,0.9348256151979549,0.9180532157608174,0.9386195671284401
2023-11-06,16654.0,16472.0,840,182.0,144.85,142.18473215766997,1.256472212633759,1.280024917149181,0.9179548156956004,0.9382254283973974
2023-11-07,16715.0,16625.0,840,90.0,142.65,137.2147576664633,0.6309148264984227,0.6559061250450099,0.9180532157608174,0.9386195671284401
2023-11-08,16775.0,16683.0,840,92.0,142.1,132.90859026965728,0.6474313863476425,0.6922050697651811,0.9179548156956004,0.9382254283973974
