trade_date,breadth_adv_dec,breadth_adv_dec_cum,new_highs_52w,new_lows_52w,new_high_low_diff,value_concentration_top20,value_per_stock
2013-08-13,2.0,-30872.0,40.0,21.0,19.0,0.32377792792274834,66211535.61042524
2013-08-14,0.7793493635077794,-31028.0,46.0,34.0,12.0,0.29546235484851363,64517695.2312457
2013-08-15,0.5287769784172662,-31421.0,34.0,57.0,-23.0,0.3195465078871753,65351474.17355372
2013-08-16,0.8692421991084696,-31509.0,44.0,52.0,-8.0,0.3226432547786723,62944509.436464086
2013-08-19,0.819364161849711,-31634.0,51.0,51.0,0.0,0.3416073205807235,60154773.25773196
2013-08-20,0.2387218045112782,-32444.0,14.0,92.0,-78.0,0.32715603011052546,68395994.98206897
2013-08-22,0.9292168674698795,-32491.0,27.0,88.0,-61.0,0.3456598199985885,71188991.81090407
2013-08-23,2.321899736147757,-31990.0,38.0,42.0,-4.0,0.3185166180254645,60158466.30109739
2013-08-26,1.2608695652173914,-31846.0,46.0,40.0,6.0,0.2957067069024102,49681973.02682256
2013-08-27,0.2100371747211896,-32696.0,21.0,78.0,-57.0,0.335353370666028,58147961.35856848
2013-08-28,0.3783494105037513,-33276.0,20.0,104.0,-84.0,0.31219631892873684,51766781.56344827
2013-08-29,3.2636986301369864,-32615.0,26.0,49.0,-23.0,0.35758249900345224,60920193.81524725
2013-08-30,2.289405684754522,-32116.0,32.0,33.0,-1.0,0.32309672837316794,65431588.35459533
2013-09-02,1.541015625,-31839.0,46.0,31.0,15.0,0.32044304371639837,59748371.79476584
2013-09-03,1.9953379953379953,-31412.0,42.0,16.0,26.0,0.29395530507294004,66413919.40479452
2013-09-04,0.8552437223042836,-31510.0,40.0,15.0,25.0,0.28340936859915494,62929776.37016574
2013-09-05,2.4173441734417342,-30987.0,51.0,10.0,41.0,0.3040298474433252,77780230.88466851
2013-09-06,1.208185053380783,-30870.0,63.0,11.0,52.0,0.2939413368039677,77826773.3285124
2013-09-09,0.39831401475237094,-31441.0,49.0,27.0,22.0,0.3152660397949743,70091548.56129476
2013-09-10,0.48705882352941177,-31877.0,32.0,28.0,4.0,0.30829285935009915,71632832.92531121
2013-09-11,0.8738738738738738,-31961.0,32.0,33.0,-1.0,0.3511885961102202,71287406.38938662
2013-09-12,1.3440453686200378,-31779.0,54.0,21.0,33.0,0.33412009192903,69510746.44129834
2013-09-13,0.5648949320148331,-32131.0,35.0,24.0,11.0,0.306514832871343,53125450.89834025
2013-09-16,2.148989898989899,-31676.0,57.0,24.0,33.0,0.3269054501286754,61610734.506839946
2013-09-17,0.7463976945244957,-31852.0,45.0,27.0,18.0,0.31056940867591176,53623747.94783802
2013-09-18,1.194736842105263,-31741.0,52.0,26.0,26.0,0.3123750970453076,60112723.826355524
2013-09-23,1.8949771689497716,-31349.0,74.0,15.0,59.0,0.31953531929859025,70359314.15051547
2013-09-24,1.1347150259067358,-31271.0,70.0,9.0,61.0,0.28610473056751834,67394696.49656594
2013-09-25,1.4689922480620154,-31029.0,66.0,10.0,56.0,0.2525318892747697,64322105.64730007
2013-09-26,0.3160569105691057,-31702.0,30.0,13.0,17.0,0.26329934011880207,62096675.833561644
2013-09-27,1.037953795379538,-31679.0,26.0,14.0,12.0,0.30159556838256574,63793531.53877831
2013-09-30,0.7877094972067039,-31831.0,33.0,13.0,20.0,0.3207052155245259,58934409.48547718
2013-10-01,1.0290322580645161,-31813.0,34.0,12.0,22.0,0.28456238992319277,57126830.995884776
2013-10-02,1.3018181818181818,-31647.0,68.0,11.0,57.0,0.2701433858681814,67259802.33356258
2013-10-03,2.6396648044692737,-31060.0,83.0,9.0,74.0,0.28515326454303813,93472584.07950652
2013-10-04,0.9783950617283951,-31074.0,82.0,10.0,72.0,0.259399205122469,82497279.81030928
2013-10-07,0.8737446197991392,-31162.0,86.0,20.0,66.0,0.23421482245368477,77296844.29690722
2013-10-08,0.8342857142857143,-31278.0,70.0,18.0,52.0,0.24851476706325598,71866982.97881067
2013-10-09,0.3187250996015936,-31962.0,40.0,27.0,13.0,0.2809466448106581,71903222.24723756
2013-10-11,0.7044854881266491,-32186.0,57.0,39.0,18.0,0.30401428260489377,76852229.27994524
2013-10-14,0.23055809698078683,-33027.0,30.0,75.0,-45.0,0.30337306578476914,65675050.01232877
2013-10-15,4.533613445378151,-32186.0,66.0,27.0,39.0,0.28403269550790583,67100225.675989084
2013-10-16,0.8525547445255475,-32287.0,50.0,42.0,8.0,0.2872341878185473,62241250.307323754
2013-10-17,1.8886363636363637,-31896.0,54.0,16.0,38.0,0.27480458842625116,65468994.668038405
2013-10-18,2.335958005249344,-31387.0,74.0,5.0,69.0,0.28434673834862245,70700431.49485244
2013-10-21,0.7915492957746478,-31535.0,63.0,8.0,55.0,0.30998586502222575,66035721.09122085
2013-10-22,0.796875,-31678.0,45.0,11.0,34.0,0.3194969392665225,66160503.681598894
2013-10-23,0.5977722772277227,-32003.0,45.0,11.0,34.0,0.2971410017985455,63819004.14090287
2013-10-24,1.3256704980842913,-31833.0,60.0,12.0,48.0,0.307632328023691,58005881.12758621
2013-10-25,0.6935483870967742,-32061.0,58.0,11.0,47.0,0.31378296859612936,66780716.24726027
2013-10-28,0.8887240356083086,-32136.0,61.0,16.0,45.0,0.2835521144623393,54694114.06520247
2013-10-29,0.7974137931034483,-32277.0,61.0,19.0,42.0,0.2821549709391774,55474475.49041096
2013-10-30,1.7742663656884876,-31934.0,88.0,14.0,74.0,0.28019174065285396,62177935.06780822
2013-10-31,0.6910569105691057,-32162.0,58.0,13.0,45.0,0.3164546309800117,69434391.97800687
2013-11-01,0.3963083604777416,-32718.0,42.0,31.0,11.0,0.2810354061862778,65020671.493533015
2013-11-04,0.5366430260047281,-33110.0,53.0,46.0,7.0,0.3374215454502738,68037374.93689986
2013-11-05,0.3559498956158664,-33727.0,30.0,53.0,-23.0,0.34742796291624173,75489239.02595629
2013-11-06,0.6501272264631043,-34002.0,36.0,64.0,-28.0,0.29684659469084446,64952177.21253406
2013-11-07,1.0592105263157894,-33966.0,32.0,58.0,-26.0,0.3051733610091261,65689632.24024641
2013-11-08,0.42572062084257206,-34484.0,21.0,71.0,-50.0,0.3061512709930979,60561589.76928328
2013-11-11,0.6452830188679245,-34766.0,25.0,82.0,-57.0,0.29503832904039384,52170846.73255814
2013-11-12,0.4790011350737798,-35225.0,23.0,114.0,-91.0,0.2851022296813012,64849388.92935528
2013-11-13,0.5158264947245017,-35638.0,17.0,112.0,-95.0,0.3228233676481492,55135642.85929993
2013-11-14,2.201946472019465,-35144.0,27.0,42.0,-15.0,0.3242133755643243,61677347.91108071
2013-11-15,1.1672297297297298,-35045.0,35.0,53.0,-18.0,0.3078916728236647,57452371.43942505
2013-11-18,0.702013422818792,-35267.0,38.0,81.0,-43.0,0.3231144982486587,54051740.026188836
2013-11-19,2.269922879177378,-34773.0,48.0,58.0,-10.0,0.3241478733030074,61950979.469738655
2013-11-20,0.7716312056737589,-34934.0,41.0,62.0,-21.0,0.32178675979780014,62719600.930916555
2013-11-21,0.36694386694386694,-35543.0,30.0,76.0,-46.0,0.3523461369623702,60081679.38744884
2013-11-22,0.8198847262247838,-35668.0,25.0,58.0,-33.0,0.3384520070160978,53827020.89596167
2013-11-25,2.0093457943925235,-35236.0,41.0,40.0,1.0,0.3122844939432861,53140189.21549966
2013-11-26,1.9382151029748285,-34826.0,51.0,21.0,30.0,0.3199935766248427,72402364.7865937
2013-11-27,1.4776699029126215,-34580.0,48.0,8.0,40.0,0.29148227620084594,62007424.71127717
2013-11-28,2.2406015037593985,-34085.0,75.0,7.0,68.0,0.2744557686777888,70940107.35094851
2013-11-29,1.9029345372460496,-33685.0,61.0,4.0,57.0,0.3118233463767683,69314138.21177267
2013-12-02,1.0618066561014263,-33646.0,83.0,7.0,76.0,0.28615892236132506,56602522.0054054
2013-12-03,0.8152327221438646,-33777.0,69.0,7.0,62.0,0.2912168761769767,62116511.390688255
2013-12-04,0.9440242057488654,-33814.0,74.0,5.0,69.0,0.26542500060570995,66749150.79121622
2013-12-05,0.6705882352941176,-34066.0,74.0,12.0,62.0,0.2633522329675832,65935986.8627451
2013-12-06,1.3229357798165138,-33890.0,78.0,6.0,72.0,0.28110660116102487,68033138.1361186
2013-12-09,1.0581761006289307,-33853.0,68.0,9.0,59.0,0.23500366364386516,71409869.96042924
2013-12-10,0.7403973509933774,-34049.0,49.0,11.0,38.0,0.25801883927246283,60147225.28513786
2013-12-11,0.4796380090497738,-34509.0,44.0,16.0,28.0,0.2974246053332263,67639871.82037534
2013-12-12,0.7379032258064516,-34704.0,42.0,19.0,23.0,0.2987845294844526,55076489.16338983
2013-12-13,1.596774193548387,-34408.0,49.0,16.0,33.0,0.2808377225806937,59079260.758249156
2013-12-16,0.49715585893060293,-34850.0,43.0,25.0,18.0,0.28223164212683644,56098870.66308003
2013-12-17,1.428030303030303,-34624.0,51.0,25.0,26.0,0.2854767528941841,57264903.17146684
2013-12-18,1.5188118811881188,-34362.0,56.0,12.0,44.0,0.3107809970180835,61551878.56430976
2013-12-19,1.1423728813559322,-34278.0,57.0,8.0,49.0,0.26861085781107974,64933485.70802428
2013-12-20,1.0741935483870968,-34232.0,65.0,11.0,54.0,0.2741109182372049,66638331.51342282
2013-12-23,1.54296875,-33954.0,82.0,6.0,76.0,0.2625923757701803,63577441.111930296
2013-12-24,1.2670157068062826,-33801.0,67.0,3.0,64.0,0.21028869045030535,53521708.54855995
2013-12-25,1.4562383612662941,-33556.0,70.0,0.0,70.0,0.2074981288365439,53089259.867292225
2013-12-26,1.3393177737881508,-33367.0,57.0,1.0,56.0,0.21499965310918862,52137163.675585285
2013-12-27,1.4734848484848484,-33117.0,78.0,0.0,78.0,0.25057567032228956,64913985.8355615
2013-12-30,1.896103896103896,-32703.0,106.0,1.0,105.0,0.2555418872344687,74235449.57873754
2013-12-31,0.9051094890510949,-32768.0,86.0,3.0,83.0,0.2210268888189865,73156417.22414944
2014-01-02,1.6653465346534653,-32432.0,112.0,1.0,111.0,0.23869457600932917,78144183.128
2014-01-03,0.8814504881450488,-32517.0,107.0,2.0,105.0,0.24178582679509214,78756129.70592149
2014-01-06,0.6561360874848117,-32800.0,100.0,9.0,91.0,0.2233390005506563,82792236.67110519
2014-01-07,2.2085308056872037,-32290.0,112.0,5.0,107.0,0.23774888481567674,79917701.15992036
2014-01-08,1.32,-32106.0,129.0,6.0,123.0,0.2469160329840337,97638813.5
2014-01-09,0.5423340961098398,-32506.0,79.0,8.0,71.0,0.278587710589251,110342770.97074468
2014-01-10,1.4422018348623853,-32265.0,82.0,2.0,80.0,0.25631310557627607,80504143.67531604
2014-01-13,0.8608815426997245,-32366.0,82.0,4.0,78.0,0.24599553161691268,77309710.42049235
2014-01-14,0.5771028037383178,-32728.0,61.0,6.0,55.0,0.265530980884957,69024781.968
2014-01-15,1.8017057569296375,-32352.0,80.0,3.0,77.0,0.33418494252626035,89895167.51096345
2014-01-16,0.615568862275449,-32673.0,83.0,3.0,80.0,0.2771338102105752,88140416.95415282
2014-01-17,0.6687898089171974,-32933.0,57.0,5.0,52.0,0.3631546802749584,86465037.14750831
