Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,ret_pct,d
1,47307,47406,27480.0,27425.0,,,-55.0,0.0,-0.002001455604075719,2025-10-17 09:35:00,2025-10-17 11:14:00,0 days 01:39:00,,-0.20014556040756915,2025-10-17
1,47901,47978,27939.0,27963.0,,,24.0,0.0,0.0008590142811124579,2025-10-21 09:27:00,2025-10-21 10:44:00,0 days 01:17:00,,0.08590142811124235,2025-10-21
-1,48500,48562,27499.0,27540.0,,,-41.0,0.0,-0.0014909633077566653,2025-10-23 09:24:00,2025-10-23 10:26:00,0 days 01:02:00,,-0.1490963307756646,2025-10-23
1,48828,48846,28161.0,28122.0,,,-39.0,0.0,-0.0013848940023436507,2025-10-27 09:51:00,2025-10-27 10:09:00,0 days 00:18:00,,-0.13848940023436668,2025-10-27
1,49092,49174,28085.0,28095.0,,,10.0,0.0,0.00035606195478021796,2025-10-28 09:14:00,2025-10-28 10:36:00,0 days 01:22:00,,0.03560619547801318,2025-10-28
1,49396,49485,28305.0,28428.0,,,123.0,0.0,0.004345521992580759,2025-10-29 09:17:00,2025-10-29 10:46:00,0 days 01:29:00,,0.4345521992580816,2025-10-29
-1,50899,50949,27670.0,27526.0,,,144.0,0.0,0.005204192265992003,2025-11-05 09:15:00,2025-11-05 10:05:00,0 days 00:50:00,,0.5204192265992049,2025-11-05
-1,51204,51262,28005.0,27988.0,,,17.0,0.0,0.0006070344581324827,2025-11-06 09:19:00,2025-11-06 10:17:00,0 days 00:58:00,,0.06070344581324763,2025-11-06
1,51523,51546,27719.0,27700.0,,,-19.0,0.0,-0.0006854504130741068,2025-11-07 09:37:00,2025-11-07 10:00:00,0 days 00:23:00,,-0.06854504130740648,2025-11-07
-1,51852,51877,27856.0,27859.0,,,-3.0,0.0,-0.00010769672601962377,2025-11-10 10:05:00,2025-11-10 10:30:00,0 days 00:25:00,,-0.010769672601952902,2025-11-10
1,52113,52125,28130.0,28065.0,,,-65.0,0.0,-0.002310700319943071,2025-11-11 09:25:00,2025-11-11 09:37:00,0 days 00:12:00,,-0.23107003199431211,2025-11-11
-1,53050,53068,27486.0,27498.0,,,-12.0,0.0,-0.0004365858982755544,2025-11-14 09:59:00,2025-11-14 10:17:00,0 days 00:18:00,,-0.04365858982754857,2025-11-14
-1,53325,53401,27604.0,27601.0,,,3.0,0.0,0.00010867990146357087,2025-11-17 09:33:00,2025-11-17 10:49:00,0 days 01:16:00,,0.0108679901463556,2025-11-17
1,54248,54254,27410.0,27317.0,,,-93.0,0.0,-0.003392922291134637,2025-11-20 09:53:00,2025-11-20 09:59:00,0 days 00:06:00,,-0.33929222911346224,2025-11-20
1,55110,55129,27023.0,26941.0,,,-82.0,0.0,-0.0030344521333678376,2025-11-25 09:12:00,2025-11-25 09:31:00,0 days 00:19:00,,-0.3034452133367872,2025-11-25
1,55728,55811,27552.0,27620.0,,,68.0,0.0,0.0024680603948896707,2025-11-27 09:28:00,2025-11-27 10:51:00,0 days 01:23:00,,0.24680603948896632,2025-11-27
1,56963,56994,27797.0,27818.0,,,21.0,0.0,0.0007554772097708717,2025-12-03 09:59:00,2025-12-03 10:30:00,0 days 00:31:00,,0.07554772097708386,2025-12-03
1,57261,57277,27777.0,27743.0,,,-34.0,0.0,-0.0012240342729596954,2025-12-04 09:56:00,2025-12-04 10:12:00,0 days 00:16:00,,-0.12240342729596429,2025-12-04
1,58442,58455,28327.0,28267.0,,,-60.0,0.0,-0.0021181205210576426,2025-12-10 09:33:00,2025-12-10 09:46:00,0 days 00:13:00,,-0.21181205210576481,2025-12-10
1,58741,58759,28467.0,28408.0,,,-59.0,0.0,-0.0020725752625847527,2025-12-11 09:31:00,2025-12-11 09:49:00,0 days 00:18:00,,-0.20725752625847474,2025-12-11
-1,59344,59373,27873.0,27940.0,,,-67.0,0.0,-0.0024037599110249275,2025-12-15 09:32:00,2025-12-15 10:01:00,0 days 00:29:00,,-0.24037599110250063,2025-12-15
1,60556,60576,27860.0,27881.0,,,21.0,0.0,0.000753768844221181,2025-12-19 09:40:00,2025-12-19 10:00:00,0 days 00:20:00,,0.07537688442211055,2025-12-19
1,61464,61481,28499.0,28462.0,,,-37.0,0.0,-0.0012982911681111986,2025-12-24 09:45:00,2025-12-24 10:02:00,0 days 00:17:00,,-0.12982911681111617,2025-12-24
1,61760,61874,28554.0,28688.0,,,134.0,0.0,0.004692862646214158,2025-12-26 09:40:00,2025-12-26 11:34:00,0 days 01:54:00,,0.46928626462141904,2025-12-26
1,62650,62673,28849.0,28925.0,,,76.0,0.0,0.0026344067385351,2025-12-31 09:27:00,2025-12-31 09:50:00,0 days 00:23:00,,0.2634406738535131,2025-12-31
1,64747,64791,30709.0,30588.0,,,-121.0,0.0,-0.003940212966882628,2026-01-12 09:17:00,2026-01-12 10:01:00,0 days 00:44:00,,-0.3940212966882673,2026-01-12
1,65961,66092,31218.0,31404.0,,,186.0,0.0,0.005958101095521862,2026-01-16 09:27:00,2026-01-16 11:38:00,0 days 02:11:00,,0.5958101095521814,2026-01-16
1,66293,66380,31378.0,31506.0,,,128.0,0.0,0.004079291223149983,2026-01-19 09:58:00,2026-01-19 11:25:00,0 days 01:27:00,,0.4079291223149977,2026-01-19
1,67760,67844,32176.0,32140.0,,,-36.0,0.0,-0.0011188463451019537,2026-01-26 09:20:00,2026-01-26 10:44:00,0 days 01:24:00,,-0.11188463451019394,2026-01-26
1,69604,69614,32228.0,32131.0,,,-97.0,0.0,-0.003009805138388999,2026-02-03 09:58:00,2026-02-03 10:08:00,0 days 00:10:00,,-0.30098051383889785,2026-02-03
