leg_ext,est_min,est_bucket,side,anchor,leg_amp,reach_L3,reach_L4,reach_L5,had_pullback,pb_depth,pb_min,matured_pre_pb,date
481,588,09:30-11:30,bear,28594,481,True,True,True,True,46,589,False,2025-11-04
274,529,≤09:30,bear,27828,274,True,False,False,True,49,530,False,2025-11-05
179,552,≤09:30,bull,27554,179,False,False,False,False,,,False,2025-11-05
318,561,≤09:30,bear,27733,318,True,False,False,True,44,562,False,2025-11-05
435,637,09:30-11:30,bull,27415,435,True,True,True,True,64,638,False,2025-11-05
238,637,09:30-11:30,bull,27903,238,False,False,False,True,20,638,False,2025-11-06
242,574,09:30-11:30,bear,27838,242,True,False,False,True,107,575,False,2025-11-07
224,655,09:30-11:30,bull,27596,224,False,False,False,True,20,656,False,2025-11-07
184,559,≤09:30,bear,27902,184,False,False,False,True,0,560,False,2025-11-10
321,645,09:30-11:30,bull,27718,321,True,True,False,True,55,648,False,2025-11-10
418,587,09:30-11:30,bear,28180,418,True,True,True,True,55,588,False,2025-11-11
220,611,09:30-11:30,bull,27858,220,False,False,False,True,38,613,False,2025-11-12
242,536,≤09:30,bear,28044,242,True,False,False,True,86,538,False,2025-11-13
221,586,09:30-11:30,bull,27802,221,False,False,False,True,74,587,False,2025-11-13
160,709,>11:30,bear,28023,160,False,False,False,False,,,False,2025-11-13
216,631,09:30-11:30,bull,27380,216,False,False,False,True,32,632,False,2025-11-14
230,747,>11:30,bear,27596,230,True,False,False,True,31,751,False,2025-11-14
162,570,09:30-11:30,bull,27528,162,False,False,False,True,0,571,False,2025-11-17
203,582,09:30-11:30,bear,27690,203,False,False,False,True,84,583,False,2025-11-17
156,664,09:30-11:30,bull,27487,156,False,False,False,True,0,665,False,2025-11-17
178,758,>11:30,bear,27643,178,False,False,False,True,56,759,False,2025-11-17
154,569,≤09:30,bear,27194,154,False,False,False,False,,,False,2025-11-18
258,584,09:30-11:30,bull,27040,258,True,False,False,True,42,585,False,2025-11-18
526,615,09:30-11:30,bear,27298,526,True,True,True,True,25,616,False,2025-11-18
186,540,≤09:30,bear,26907,186,False,False,False,False,,,False,2025-11-19
198,560,≤09:30,bull,26721,198,False,False,False,True,28,561,False,2025-11-19
360,595,09:30-11:30,bear,26919,360,True,True,False,True,100,596,False,2025-11-19
181,571,09:30-11:30,bull,27300,181,False,False,False,True,28,572,False,2025-11-20
280,597,09:30-11:30,bear,27481,280,True,False,False,True,38,598,False,2025-11-20
291,663,09:30-11:30,bull,27201,291,True,False,False,True,22,665,False,2025-11-20
373,576,09:30-11:30,bear,26770,373,True,True,False,True,141,577,False,2025-11-21
194,797,>11:30,bull,26397,194,False,False,False,True,20,798,False,2025-11-21
194,580,09:30-11:30,bear,26730,194,False,False,False,True,25,581,False,2025-11-24
183,645,09:30-11:30,bull,26536,183,False,False,False,False,,,False,2025-11-24
168,696,>11:30,bear,26719,168,False,False,False,True,0,698,False,2025-11-24
332,558,≤09:30,bear,27105,332,True,True,False,True,55,559,False,2025-11-25
172,788,>11:30,bull,26773,172,False,False,False,True,25,795,False,2025-11-25
251,547,≤09:30,bull,27133,251,True,False,False,True,35,548,False,2025-11-26
173,616,09:30-11:30,bull,27476,173,False,False,False,True,21,617,False,2025-11-27
188,689,09:30-11:30,bear,27649,188,False,False,False,True,79,690,False,2025-11-27
296,615,09:30-11:30,bull,27558,296,True,True,False,True,25,616,False,2025-11-28
273,571,09:30-11:30,bear,27674,273,True,False,False,True,116,572,False,2025-12-01
162,555,≤09:30,bull,27627,162,False,False,False,True,28,556,False,2025-12-02
261,602,09:30-11:30,bear,27789,261,True,False,False,True,39,603,False,2025-12-02
198,631,09:30-11:30,bear,27888,198,False,False,False,True,46,632,False,2025-12-03
210,613,09:30-11:30,bear,27880,210,True,False,False,True,65,616,False,2025-12-04
148,816,>11:30,bull,27670,148,False,False,False,False,,,False,2025-12-04
172,544,≤09:30,bull,27763,172,False,False,False,True,0,545,False,2025-12-05
169,574,09:30-11:30,bear,27935,169,False,False,False,True,22,575,False,2025-12-05
253,749,>11:30,bull,27766,253,True,False,False,True,14,750,False,2025-12-05
279,589,09:30-11:30,bull,28019,279,True,True,False,True,41,592,False,2025-12-08
156,638,09:30-11:30,bear,28360,156,False,False,False,True,39,643,False,2025-12-09
182,697,>11:30,bull,28252,182,False,False,False,True,19,704,False,2025-12-10
543,545,≤09:30,bear,28602,543,True,True,True,True,30,546,False,2025-12-11
185,681,09:30-11:30,bear,28342,185,False,False,False,True,37,682,False,2025-12-12
145,807,>11:30,bull,28157,145,False,False,False,False,,,False,2025-12-12
229,556,≤09:30,bull,27755,229,True,False,False,True,62,557,False,2025-12-15
135,551,≤09:30,bull,27548,135,False,False,False,False,,,False,2025-12-16
272,578,09:30-11:30,bear,27683,272,True,True,False,True,33,579,False,2025-12-16
278,720,>11:30,bull,27411,278,True,True,False,True,53,721,False,2025-12-16
163,662,09:30-11:30,bull,27695,163,False,False,False,True,17,663,False,2025-12-17
267,747,>11:30,bear,27858,267,True,True,False,True,22,748,False,2025-12-17
215,576,09:30-11:30,bull,27464,215,True,False,False,True,28,577,False,2025-12-18
144,606,09:30-11:30,bear,27679,144,False,False,False,True,32,607,False,2025-12-18
140,647,09:30-11:30,bull,27535,140,False,False,False,True,0,648,False,2025-12-18
218,675,09:30-11:30,bear,27675,218,True,False,False,True,23,676,False,2025-12-18
175,752,>11:30,bull,27457,175,False,False,False,True,43,754,False,2025-12-18
188,612,09:30-11:30,bull,27795,188,False,False,False,True,127,614,False,2025-12-19
145,748,>11:30,bear,27983,145,False,False,False,True,32,749,False,2025-12-19
134,582,09:30-11:30,bear,28304,134,False,False,False,False,,,False,2025-12-22
198,644,09:30-11:30,bull,28170,198,True,False,False,True,23,645,False,2025-12-22
177,606,09:30-11:30,bear,28577,177,True,False,False,True,41,607,False,2025-12-24
145,552,≤09:30,bear,28681,145,False,False,False,True,25,553,False,2025-12-26
178,653,09:30-11:30,bull,28536,178,True,False,False,True,23,654,False,2025-12-26
285,572,09:30-11:30,bull,28713,285,True,True,True,True,15,573,False,2025-12-29
237,585,09:30-11:30,bull,28705,237,True,True,False,True,98,587,False,2025-12-30
271,572,09:30-11:30,bull,28782,271,True,True,False,True,34,575,False,2025-12-31
474,540,≤09:30,bull,29026,474,True,True,True,True,97,541,False,2026-01-02
430,546,≤09:30,bull,29850,430,True,True,True,True,93,548,False,2026-01-05
143,595,09:30-11:30,bear,30280,143,False,False,False,False,,,False,2026-01-05
350,612,09:30-11:30,bull,30137,350,True,True,True,True,26,613,False,2026-01-05
233,717,>11:30,bear,30487,233,True,False,False,True,89,718,False,2026-01-05
489,564,≤09:30,bull,30183,489,True,True,True,True,24,565,False,2026-01-06
194,560,≤09:30,bear,30642,194,False,False,False,False,,,False,2026-01-07
228,660,09:30-11:30,bull,30448,228,True,False,False,True,31,661,False,2026-01-07
188,749,>11:30,bear,30676,188,False,False,False,True,27,750,False,2026-01-07
310,559,≤09:30,bull,30353,310,True,True,False,True,115,560,False,2026-01-08
244,638,09:30-11:30,bear,30663,244,True,False,False,True,36,639,False,2026-01-08
176,668,09:30-11:30,bull,30419,176,False,False,False,False,,,False,2026-01-08
460,557,≤09:30,bear,30465,460,True,True,True,True,24,558,False,2026-01-09
573,579,09:30-11:30,bull,30005,573,True,True,True,True,41,580,False,2026-01-09
164,768,>11:30,bear,30578,164,False,False,False,False,,,False,2026-01-09
198,601,09:30-11:30,bear,30753,198,False,False,False,False,,,False,2026-01-12
208,700,>11:30,bull,30555,208,False,False,False,True,101,705,False,2026-01-12
210,530,≤09:30,bull,31042,210,False,False,False,True,0,531,False,2026-01-13
626,539,≤09:30,bear,31252,626,True,True,True,True,60,540,False,2026-01-13
251,631,09:30-11:30,bull,30626,251,True,False,False,True,42,632,False,2026-01-13
225,617,09:30-11:30,bull,30937,225,False,False,False,True,37,619,False,2026-01-14
217,635,09:30-11:30,bear,31162,217,False,False,False,True,117,636,False,2026-01-14
198,642,09:30-11:30,bear,30942,198,False,False,False,True,61,643,False,2026-01-15
313,747,>11:30,bull,30744,313,True,False,False,True,48,748,False,2026-01-15
267,545,≤09:30,bear,31424,267,True,False,False,True,79,546,False,2026-01-16
379,605,09:30-11:30,bull,31157,379,True,True,False,True,45,606,False,2026-01-16
566,556,≤09:30,bull,31208,566,True,True,True,True,23,557,False,2026-01-19
170,786,>11:30,bear,31774,170,False,False,False,False,,,False,2026-01-19
414,554,≤09:30,bull,31328,414,True,True,False,True,54,555,False,2026-01-20
365,555,≤09:30,bull,31437,365,True,True,False,True,25,556,False,2026-01-21
425,622,09:30-11:30,bear,31802,425,True,True,False,True,22,623,False,2026-01-21
224,610,09:30-11:30,bull,31833,224,False,False,False,True,38,611,False,2026-01-22
274,724,>11:30,bear,32057,274,True,False,False,True,50,725,False,2026-01-22
283,566,≤09:30,bear,32156,283,True,False,False,True,65,567,False,2026-01-23
293,630,09:30-11:30,bull,31873,293,True,False,False,True,36,631,False,2026-01-23
326,586,09:30-11:30,bull,32206,326,True,False,False,True,50,587,False,2026-01-27
170,579,09:30-11:30,bear,32838,170,False,False,False,False,,,False,2026-01-28
270,784,>11:30,bull,32668,270,True,False,False,True,21,790,False,2026-01-28
404,560,≤09:30,bear,33014,404,True,True,True,True,57,561,False,2026-01-29
252,572,09:30-11:30,bull,32610,252,True,False,False,True,54,573,False,2026-01-29
237,585,09:30-11:30,bear,32862,237,True,False,False,True,133,586,False,2026-01-29
201,625,09:30-11:30,bull,32625,201,False,False,False,True,20,627,False,2026-01-29
239,640,09:30-11:30,bear,32826,239,True,False,False,True,46,641,False,2026-01-29
229,664,09:30-11:30,bull,32587,229,False,False,False,True,19,665,False,2026-01-29
415,549,≤09:30,bear,32526,415,True,True,True,True,87,550,False,2026-01-30
184,607,09:30-11:30,bull,32111,184,False,False,False,True,38,608,False,2026-01-30
203,625,09:30-11:30,bear,32295,203,False,False,False,True,52,626,False,2026-01-30
320,650,09:30-11:30,bull,32092,320,True,False,False,True,23,651,False,2026-01-30
190,805,>11:30,bear,32412,190,False,False,False,True,79,806,False,2026-01-30
509,544,≤09:30,bear,31964,509,True,True,True,False,,,True,2026-02-02
232,624,09:30-11:30,bull,31455,232,False,False,False,True,55,625,False,2026-02-02
295,658,09:30-11:30,bear,31687,295,True,False,False,True,42,659,False,2026-02-02
287,742,>11:30,bull,31392,287,True,False,False,True,45,743,False,2026-02-02
442,542,≤09:30,bear,32446,442,True,True,False,True,155,543,False,2026-02-03
296,667,09:30-11:30,bull,32004,296,True,False,False,True,123,668,False,2026-02-03
441,562,≤09:30,bull,32034,441,True,True,False,True,50,564,False,2026-02-04
217,624,09:30-11:30,bear,32475,217,False,False,False,True,52,625,False,2026-02-04
208,691,>11:30,bull,32258,208,False,False,False,False,,,False,2026-02-04
198,568,≤09:30,bull,31968,198,False,False,False,False,,,False,2026-02-05
273,603,09:30-11:30,bear,32166,273,True,False,False,True,100,604,False,2026-02-05
215,628,09:30-11:30,bull,31893,215,False,False,False,True,0,629,False,2026-02-05
310,663,09:30-11:30,bear,32108,310,True,False,False,True,60,664,False,2026-02-05
370,544,≤09:30,bear,31590,370,True,False,False,True,76,545,False,2026-02-06
663,576,09:30-11:30,bull,31220,663,True,True,True,True,62,577,False,2026-02-06
275,743,>11:30,bear,31883,275,True,False,False,True,62,744,False,2026-02-06
199,821,>11:30,bull,31608,199,False,False,False,True,0,824,False,2026-02-06
321,543,≤09:30,bear,32836,321,True,False,False,True,47,544,False,2026-02-09
430,551,≤09:30,bull,32879,430,True,True,False,True,106,552,False,2026-02-10
