Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,trade_date,weekday,year,night_norm
1,228820,228841,18816.0,18794.0,,,-22.0,0.0,-0.0011692176870747861,2024-02-22 09:45:00,2024-02-22 10:06:00,0 days 00:21:00,,2024-02-22,3,2024,0.4949973670352817
1,229116,229140,18939.0,18936.0,,,-3.0,0.0,-0.00015840329478855608,2024-02-23 09:40:00,2024-02-23 10:04:00,0 days 00:24:00,,2024-02-23,4,2024,1.1782630777044185
1,229709,229724,19006.0,18978.0,,,-28.0,0.0,-0.0014732189834788523,2024-02-27 09:31:00,2024-02-27 09:46:00,0 days 00:15:00,,2024-02-27,1,2024,0.4095185390149419
-1,230002,230055,18857.0,18882.0,,,-25.0,0.0,-0.0013257676194515788,2024-02-29 09:23:00,2024-02-29 10:16:00,0 days 00:53:00,,2024-02-29,3,2024,0.6793321819228555
1,231524,231552,19678.0,19644.0,,,-34.0,0.0,-0.0017278178676695122,2024-03-07 09:40:00,2024-03-07 10:08:00,0 days 00:28:00,,2024-03-07,3,2024,2.5869262865090406
1,231816,231841,19980.0,19926.0,,,-54.0,0.0,-0.002702702702702675,2024-03-08 09:31:00,2024-03-08 09:56:00,0 days 00:25:00,,2024-03-08,4,2024,2.721943048576214
1,232148,232159,19759.0,19708.0,,,-51.0,0.0,-0.0025811022825041885,2024-03-11 10:02:00,2024-03-11 10:13:00,0 days 00:11:00,,2024-03-11,0,2024,2.4716553287981857
1,232703,232720,20004.0,19944.0,,,-60.0,0.0,-0.0029994001199760145,2024-03-13 09:15:00,2024-03-13 09:32:00,0 days 00:17:00,,2024-03-13,2,2024,1.0602044680045437
1,234229,234284,19881.0,19850.0,,,-31.0,0.0,-0.0015592777023288873,2024-03-20 09:36:00,2024-03-20 10:31:00,0 days 00:55:00,,2024-03-20,2,2024,0.8689702360588436
1,234855,234891,20198.0,20165.0,,,-33.0,0.0,-0.0016338251312011387,2024-03-22 10:00:00,2024-03-22 10:36:00,0 days 00:36:00,,2024-03-22,4,2024,1.1835506519558676
1,235134,235191,20213.0,20246.0,,,33.0,0.0,0.0016326126750110248,2024-03-25 09:38:00,2024-03-25 10:35:00,0 days 00:57:00,,2024-03-25,0,2024,0.5162144275314362
