strategy,cutoff,method,diff_pct,total_N,hi_PF,lo_PF,thr
Reversal,2026-02-16,"SMA, fixed 0.85",19.288425047438324,472,1.1975806451612903,1.0039370078740157,0.85
Reversal,2026-02-16,"SMA, median",28.656107940637305,472,1.2602390750538899,0.9795408047283474,0.9327379186468046
Reversal,2026-02-16,"EMA, median (H066)",64.23648848470015,479,1.3867547018807522,0.8443645591034046,0.9477747092239039
Reversal,2026-02-23,"SMA, fixed 0.85",19.288425047438324,472,1.1975806451612903,1.0039370078740157,0.85
Reversal,2026-02-23,"SMA, median",28.656107940637305,472,1.2602390750538899,0.9795408047283474,0.9327379186468046
Reversal,2026-02-23,"EMA, median (H066)",64.23648848470015,479,1.3867547018807522,0.8443645591034046,0.9477747092239039
Reversal,2026-03-02,"SMA, fixed 0.85",19.288425047438324,472,1.1975806451612903,1.0039370078740157,0.85
Reversal,2026-03-02,"SMA, median",28.656107940637305,472,1.2602390750538899,0.9795408047283474,0.9327379186468046
Reversal,2026-03-02,"EMA, median (H066)",64.23648848470015,479,1.3867547018807522,0.8443645591034046,0.9477747092239039
Reversal,2026-03-09,"SMA, fixed 0.85",39.69196710942441,476,1.4024193548387096,1.0039370078740157,0.85
Reversal,2026-03-09,"SMA, median",65.46173707372218,476,1.5608025942440211,0.9433012259194395,0.9357565655644655
Reversal,2026-03-09,"EMA, median (H066)",98.69613551060634,483,1.6587783171521036,0.8348316955885428,0.9501759656761041
Reversal,2026-03-16,"SMA, fixed 0.85",45.652371916508535,477,1.462258064516129,1.0039370078740157,0.85
Reversal,2026-03-16,"SMA, median",73.43294918310418,477,1.6359951357924605,0.9433012259194395,0.9365910413030831
Reversal,2026-03-16,"EMA, median (H066)",107.076123363981,484,1.7322006472491909,0.8365042860129626,0.9505318332287042
Reversal,2026-03-23,"SMA, fixed 0.85",36.48646227298348,479,1.4247996228194248,1.0439127801332526,0.85
Reversal,2026-03-23,"SMA, median",62.896533218188175,479,1.5836766725524818,0.9721978984238179,0.9365910413030831
Reversal,2026-03-23,"EMA, median (H066)",94.06435642837282,486,1.676914039553554,0.8641020280158896,0.9505318332287042
Reversal,2026-03-30,"SMA, fixed 0.85",37.04348842609404,480,1.4306144900204305,1.0439127801332526,0.85
Reversal,2026-03-30,"SMA, median",61.55058151450954,480,1.5836766725524818,0.9802977232924693,0.9357565655644655
Reversal,2026-03-30,"EMA, median (H066)",94.9027942130353,487,1.6841589974544742,0.8641020280158896,0.9508877007813042
Reversal,2026-04-06,"SMA, fixed 0.85",33.579613488853624,481,1.3944546568627452,1.0439127801332526,0.85
