d,lvl,tk,ema20,swing_at_tk,up_full,satcons,cont,W5_level,W5_slope,W5_ddpeak,W5_frozen,W10_level,W10_slope,W10_ddpeak,W10_frozen,is_seg,tk_min,tk_t,tod,vol_ratio
2025-11-28,L3,10:56:00,296.3234592542108,215.0,296.0,0.7255584844383016,1.0,0.0804076438852401,0.0158437313344768,0.0393969638162685,-0.0431695869380079,0.1099676451214136,0.0216957417335595,0.0204234178549767,-0.0708651127002437,IS,656,10:56:00,656,0.7989594049086
2025-12-05,L3,12:36:00,275.2102000258789,201.0,256.0,0.7303508372186035,0.0,0.2346957579920424,0.0995291360405131,0.0109500193764232,0.0164333122779615,0.2988434250774326,0.0724884453186286,0.009041776610526,-0.0237630667470488,IS,756,12:36:00,756,0.8821307930818651
2025-12-08,L3,10:26:00,273.3806571662714,196.0,279.0,0.7169490410610575,1.0,0.2540709206867525,-0.0366956894977024,0.0440042240064184,0.0947620055981827,0.2064321569325049,-0.0274513978007983,0.0274513978007983,0.083913615518071,IS,626,10:26:00,626,0.6452762921403985
2025-12-15,L3,10:13:00,273.1508025459575,195.0,229.0,0.7138913676345188,0.0,0.2141850194962644,0.0019188102139293,0.1005605956816558,0.1785919871122013,0.2070050008121597,0.0261123263073865,0.0574637939896749,0.1525595058774597,IS,613,10:13:00,613,0.9405923606236677
2025-12-16,L3,12:24:00,268.9459642082473,263.0,278.0,0.977891602776968,1.0,-0.0712903145919365,0.2222136277100996,0.2857648174044162,0.2144745028124796,-0.1394801806976422,0.1778103824449352,0.2939201834925657,0.1401306465490311,IS,744,12:24:00,744,1.1035050533226463
2025-12-18,L3,09:47:00,269.540800633055,215.0,215.0,0.7976528952019205,0.0,0.5307734599944323,0.1468168294889176,0.0,0.166882584470182,0.4278593136946007,0.1246709633607203,0.0,0.1395183182825664,IS,587,09:47:00,587,1.215759304942417
2025-12-22,L3,10:56:00,257.67852387422414,186.0,198.0,0.7218296550425318,0.0,-0.2151544931971706,0.0302641461883487,0.196660146255435,-0.0184943469417355,-0.1080429039530985,0.0210345301529161,0.1204996376199339,0.0111502028768913,IS,656,10:56:00,656,0.9344141987095597
2025-12-26,L3,11:27:00,231.41075426555489,171.0,178.0,0.7389457786554265,0.0,-0.0271018319482266,0.0198861440601329,0.0983591726653545,-0.1515387856497609,-0.0577834159486668,0.014336264333116,0.0931895647729529,-0.1197840986653735,IS,687,11:27:00,687,0.8693748913588071
2025-12-29,L3,09:50:00,226.32401576407344,175.0,285.0,0.7732277081121827,1.0,0.3541054077464042,0.0800183158661138,0.0,0.1266854057594844,0.1929802595458001,0.0584590597576984,0.0024066151265693,0.0666870379479405,IS,590,09:50:00,590,0.899671529185667
2025-12-30,L3,11:32:00,231.9122047389236,173.0,237.0,0.7459719517338714,1.0,0.6089779338217527,0.1891390963707483,0.0,0.1383624683441996,0.4715790052315799,0.1499807517534329,0.0,0.1014482031777968,IS,692,11:32:00,692,0.7096864021337271
2025-12-31,L3,09:48:00,232.3967566685499,166.0,271.0,0.7142956828642552,1.0,0.3231575335553114,-0.0261736772511262,0.0808812363291561,0.3095863492463662,0.2507359028839895,-0.0195146198407234,0.0508224904281852,0.2353630177450207,IS,588,09:48:00,588,0.944714815484998
