d,ema20,up_full,W20_09:01,W50_09:01,H20_09:01,upsw_09:01,W20_09:05,W50_09:05,H20_09:05,upsw_09:05,W20_09:10,W50_09:10,H20_09:10,upsw_09:10,W20_09:15,W50_09:15,H20_09:15,upsw_09:15,W20_09:20,W50_09:20,H20_09:20,upsw_09:20,W20_09:25,W50_09:25,H20_09:25,upsw_09:25,W20_09:30,W50_09:30,H20_09:30,upsw_09:30,exc
2025-09-25,241.7846773425656,169.0,0.050513471456694506,0.034926089779628945,0.07921295265728623,46.0,0.06700768246614779,0.06875613735660745,0.1386235164911347,46.0,0.14672874312995007,0.11163227398887203,0.23836472709717998,55.0,0.21564876658108417,0.17063165989247298,0.2635332850209764,59.0,0.2199497843607819,0.1890026858686485,0.2631708386642338,76.0,0.25538828049287904,0.22036088829876754,0.3080313392778807,97.0,0.2389504545581414,0.2020108103971047,0.31032441947197414,125.0,0.6989690242469636
2025-09-26,237.42423188136888,194.0,-0.058514955235217846,-0.04370671916356518,-0.09487794002883485,55.0,-0.06908661267916065,-0.08415737742249857,-0.08327911136980902,55.0,-0.2533598099910718,-0.2700277033976494,-0.30988734361288417,55.0,-0.3415303142573018,-0.3451018301201361,-0.3838090671908223,84.0,-0.4621003013330235,-0.44727384646176277,-0.49960682697420655,84.0,-0.4794923909697627,-0.45324452205718146,-0.48027427635844416,101.0,-0.5654805688631055,-0.5503231626682741,-0.5827199547968053,101.0,0.8171027803806219
2025-09-30,261.5743050355242,249.0,0.0855246704671606,0.0768774485719313,0.1306151021328856,141.0,0.1277520417914294,0.09126746835338705,0.1287281758181363,141.0,0.12915289801658,0.10303015705410838,0.1799461735765987,141.0,0.16601034070714582,0.11935964325027308,0.22094891472114472,141.0,0.18808853665124461,0.14749081460377184,0.2689256363980327,167.0,0.29038971116832535,0.2490439400683455,0.3705470285002572,247.0,0.2621024691999108,0.2318189949183704,0.3348496983846838,249.0,0.9519283630178564
2025-10-01,260.3767521749981,314.0,0.05871151781821893,0.058227413857904906,0.02959216044916551,64.0,0.07359618316782802,0.061817216153249865,0.05955971226550896,83.0,0.12355501091339177,0.09210983673015898,0.12823910199960759,89.0,0.15349074026115064,0.13387514518062923,0.13944286819706836,122.0,0.25764720067944924,0.23240290352953735,0.2557720049451421,176.0,0.26166984058211123,0.24096144484012394,0.2595781284298066,229.0,0.3377731618435155,0.3053279978470842,0.3367109576116741,239.0,1.2059448371525963
2025-10-02,271.29325196785544,139.0,0.05434611658849981,0.04906174576990848,0.03170344934319528,91.0,0.004500474387747167,-0.007361517509779901,-0.09274675602723961,91.0,-0.01870227324678563,-0.05305559787017417,-0.11647607063433543,91.0,-0.03800359062729894,-0.07826753699568385,-0.16410518215649675,91.0,-0.008909283204184087,-0.06543530413586929,-0.12081665187226968,91.0,-0.029311275974520806,-0.09330263654772906,-0.16855460293471744,97.0,-0.005360082589532498,-0.09879098513625655,-0.11691313870273334,97.0,0.5123606982176969
2025-10-03,259.36056130425015,376.0,0.08973605077097523,0.06511292053425713,0.08151578256975694,61.0,0.15627438590745737,0.13157222572104382,0.11393389759405291,90.0,0.09636361273378884,0.08892899039249741,0.07793252776071392,93.0,0.17518989286751221,0.1332503007239778,0.1092133332297846,106.0,0.2302203669089056,0.19385041180390186,0.21770845063003044,157.0,0.18592021303937478,0.16048908384729227,0.18794107342915653,157.0,0.13662214383027668,0.12897498331704335,0.13932555530893811,157.0,1.4497192561166719
2025-10-07,270.46907927527394,361.0,0.12305396223261175,0.08836685733209437,0.10625995163873496,222.0,0.21923259014828583,0.14433371940820847,0.2007406810810522,222.0,0.28120619833850374,0.1975207442615495,0.25748972454795604,222.0,0.09721513863671384,0.03615874563844096,0.033109173456593206,222.0,0.07037726223409246,0.011225440121148886,0.0007250625021090804,222.0,0.0878488727430766,0.048043861766547305,0.028216392836744833,222.0,0.007309593346134492,-0.02236288725326488,-0.04359945998718122,222.0,1.3347181902171776
2025-10-08,279.09107172524784,215.0,-0.08340918988828921,-0.06018636466510153,-0.11363851363425856,63.0,0.04949991318965426,0.054895812955298,0.03651474101217721,104.0,-0.10650827186380987,-0.09167175603388925,-0.13805834905690126,104.0,-0.18997464293542074,-0.15699873595923797,-0.19582084887054144,104.0,-0.2135009786017713,-0.18309401150103807,-0.21443658881521876,104.0,-0.09347283516960554,-0.06216675526941629,-0.08597035774412658,104.0,-0.1315460486133535,-0.09192275082154376,-0.12103030997009939,104.0,0.7703578572791375
2025-10-09,272.9871601323671,148.0,-0.0031232521614576766,-0.009490665318910421,0.018317881172792132,71.0,-0.09610322150788198,-0.10349034442136038,-0.05836484660590328,71.0,-0.17496927142422772,-0.1681828318255126,-0.16174122728272147,71.0,-0.30735392568196296,-0.25638015884923504,-0.25280558204782083,71.0,-0.25940551320620014,-0.2228907097331322,-0.18364548737557387,71.0,-0.31416501981617306,-0.2608089774339539,-0.2248927899759002,82.0,-0.20270051080890544,-0.17667802850083902,-0.07940577206094405,99.0,0.54215004078667
2025-10-13,264.32171631023687,555.0,0.16593241931554079,0.17781386865511067,0.19710611717150736,334.0,0.4879074893225262,0.4475518217706878,0.5277866834324108,334.0,0.5222543400641737,0.49258950251668165,0.5696675023398913,334.0,0.5588652977612819,0.5464251734147587,0.616865866532867,374.0,0.6109830380032613,0.5822857297783154,0.6715510561592503,406.0,0.6091037741011658,0.5856185777352435,0.6736309938532001,444.0,0.6119513686571657,0.5875523497050578,0.6722154850980393,454.0,2.0997139688234747
