trade_date,ema20,active,breadth_09:01,thrust_09:01,breadth_09:05,thrust_09:05,breadth_09:10,thrust_09:10,breadth_09:15,thrust_09:15,breadth_09:30,thrust_09:30,up_L3_full,dn_L3_full,up_L3_pre_09:01,dn_L3_pre_09:01,up_L3_fwd_09:01,dn_L3_fwd_09:01,up_L3_pre_09:05,dn_L3_pre_09:05,up_L3_fwd_09:05,dn_L3_fwd_09:05,up_L3_pre_09:10,dn_L3_pre_09:10,up_L3_fwd_09:10,dn_L3_fwd_09:10,up_L3_pre_09:15,dn_L3_pre_09:15,up_L3_fwd_09:15,dn_L3_fwd_09:15,up_L3_pre_09:30,dn_L3_pre_09:30,up_L3_fwd_09:30,dn_L3_fwd_09:30,up_L4_full,dn_L4_full,up_L4_pre_09:01,dn_L4_pre_09:01,up_L4_fwd_09:01,dn_L4_fwd_09:01,up_L4_pre_09:05,dn_L4_pre_09:05,up_L4_fwd_09:05,dn_L4_fwd_09:05,up_L4_pre_09:10,dn_L4_pre_09:10,up_L4_fwd_09:10,dn_L4_fwd_09:10,up_L4_pre_09:15,dn_L4_pre_09:15,up_L4_fwd_09:15,dn_L4_fwd_09:15,up_L4_pre_09:30,dn_L4_pre_09:30,up_L4_fwd_09:30,dn_L4_fwd_09:30,dir_full,dir_10
2025-07-15,243.0634417370804,984,0.09959349593495935,-0.09071847314939807,0.15040650406504066,-0.03224590942180058,0.3323170731707317,0.1035134530770381,0.3678861788617886,0.10805893957602633,0.36077235772357724,0.10909310526591486,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
2025-07-16,255.15263776212038,994,0.001006036217303823,0.2188565341272372,0.09154929577464789,0.059817927661032944,0.13380281690140844,0.0755698554808429,0.17303822937625754,0.279911023315144,0.1981891348088531,0.09401861034088241,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
2025-07-17,259.1381008323946,979,0.39734422880490294,0.2152260388608223,0.4759959141981614,0.22794063096932726,0.557711950970378,0.19845028131291206,0.6363636363636364,0.13380585249440424,0.6036772216547498,-0.14501401823172294,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,-1
2025-07-18,261.50590075311896,1008,0.6299603174603174,0.23358977112464532,0.5565476190476191,-0.13739605543983496,0.4801587301587302,-0.019397050409584175,0.41964285714285715,0.015178444239799698,0.19642857142857142,-0.01637764236027047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
2025-07-21,252.69581496710762,961,0.26534859521331944,0.17465535843899133,0.34235171696149846,0.01769036166520862,0.35275754422476585,-0.14033627773194624,0.11654526534859522,-0.31203798150832496,0.05723204994797086,0.01666468468655704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
2025-07-22,240.91526116071643,980,0.22346938775510203,0.0365707744191575,0.21020408163265306,0.03728500875494357,0.13877551020408163,0.04001559061074236,0.10102040816326531,0.489532875467659,-0.12857142857142856,0.23647540505076395,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-1,1
2025-07-23,258.8280934311244,991,0.5852674066599395,-0.012833434474243562,0.6851664984863775,-0.12446807886510046,0.751765893037336,0.20262578791834937,0.7739656912209889,0.021516707844504573,0.7285570131180625,-0.20043127594383986,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
2025-07-24,258.7492273900649,991,0.39354187689202824,-0.053829921976533836,0.3713420787083754,0.054820158868223744,0.22906155398587286,0.023551262185814062,-0.025227043390514632,-0.022487475116740624,-0.22401614530776992,-0.01662597001221154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
2025-07-25,251.1540628767254,977,-0.006141248720573183,-0.13251708065584644,0.10644831115660185,-0.021942892623993654,0.14534288638689866,0.04434438330697829,-0.07881269191402251,-0.2893183364578582,-0.09723643807574207,-0.2946220170086887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
2025-07-28,238.7584378408468,993,0.36656596173212486,-0.07014009733518287,0.15508559919436052,-0.10218018937321664,-0.19536757301107754,-0.3469798643275873,-0.24471299093655588,-0.3012670529737203,-0.017119838872104734,-0.3134022761580797,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
