trade_date,n_weight,thrust,breadth,confirm,up_full,dn_full,ema20,active,up_L3_full,dn_L3_full,up_L3_pre,dn_L3_pre,up_L3_fwd,dn_L3_fwd,up_L4_full,dn_L4_full,up_L4_pre,dn_L4_pre,up_L4_fwd,dn_L4_fwd,yr
2025-10-17,21,0.11989257952001633,0.0752797558494405,0.0752797558494405,301.0,224.0,355.4334068174597,983,1,0,1,0,0,0,0,0,0,0,0,0,2025
2025-10-20,21,0.5267468663259728,-0.03006012024048096,-0.03006012024048096,392.0,152.0,350.2492728348445,998,1,0,1,0,0,0,1,0,0,0,1,0,2025
2025-10-21,21,0.08671567082351786,0.40594059405940597,0.40594059405940597,176.0,238.0,354.2255325648593,1010,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-10-22,21,0.0376042287162289,0.3622448979591837,0.3622448979591837,271.0,189.0,343.1564342253489,980,1,0,0,0,1,0,0,0,0,0,0,0,2025
2025-10-23,21,0.016442252178441395,-0.2588357588357588,-0.2588357588357588,316.0,112.0,336.28439287055375,962,1,0,0,0,1,0,0,0,0,0,0,0,2025
2025-10-27,21,-0.2905841345897292,0.021863117870722433,-0.021863117870722433,177.0,212.0,334.35254593050104,1052,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-10-28,21,0.14615189701068998,-0.3949748743718593,-0.3949748743718593,118.0,266.0,322.6999225085486,995,0,1,0,0,0,1,0,0,0,0,0,0,2025
2025-10-29,20,0.1034513585614732,0.24568527918781727,0.24568527918781727,243.0,106.0,317.2999298886868,985,1,0,0,0,1,0,0,0,0,0,0,0,2025
2025-10-30,21,-0.29665035218762237,-0.25,0.25,238.0,371.0,310.22374608976423,1008,1,1,0,1,1,0,0,1,0,0,0,1,2025
2025-10-31,21,-0.04324411629853652,-0.041584158415841586,0.041584158415841586,167.0,210.0,316.0119607478819,1010,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-11-03,21,0.0423664170263143,0.1424390243902439,0.1424390243902439,219.0,354.0,305.9155835337979,1025,1,1,1,0,0,1,0,1,0,0,0,1,2025
2025-11-04,21,0.11858099859136444,-0.029087261785356068,-0.029087261785356068,212.0,481.0,310.49505176867433,997,0,1,0,0,0,1,0,1,0,0,0,1,2025
2025-11-05,20,-0.16690720036150003,-0.7350096711798839,0.7350096711798839,435.0,413.0,326.7336182668958,1034,1,1,0,1,1,0,1,1,0,1,1,0,2025
2025-11-06,21,-0.09218038655840843,0.32872655478775914,-0.32872655478775914,238.0,146.0,337.0447022414771,1013,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-11-07,21,0.013691942292158098,-0.39570552147239263,-0.39570552147239263,224.0,242.0,327.61187345657453,978,0,1,0,0,0,1,0,0,0,0,0,0,2025
2025-11-10,21,-0.013768231394599019,-0.2884231536926148,0.2884231536926148,321.0,184.0,319.4583616988055,1002,1,0,0,0,1,0,1,0,0,0,1,0,2025
2025-11-11,21,-0.015272890805348558,0.19760479041916168,-0.19760479041916168,118.0,418.0,319.60518439415733,1002,0,1,0,0,0,1,0,1,0,0,0,1,2025
2025-11-12,21,-0.10997542112413132,0.501004016064257,-0.501004016064257,220.0,136.0,328.9761192137614,996,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-11-13,21,-0.1916427104731726,-0.17455621301775148,0.17455621301775148,221.0,242.0,318.5974411934032,1014,0,1,0,1,0,0,0,0,0,0,0,0,2025
2025-11-14,21,-0.02754789440657614,-0.38656280428432327,0.38656280428432327,216.0,230.0,311.3024467940315,1027,0,1,0,0,0,1,0,0,0,0,0,0,2025
2025-11-17,21,0.08698586317781899,-0.10951008645533142,-0.10951008645533142,162.0,225.0,303.55935662317137,1041,0,1,0,0,0,1,0,0,0,0,0,0,2025
2025-11-18,21,-0.2589929760586123,-0.684931506849315,0.684931506849315,258.0,526.0,296.0775131352503,1022,1,1,0,0,1,1,0,1,0,0,0,1,2025
2025-11-19,21,0.42679419878739533,-0.14777327935222673,-0.14777327935222673,198.0,360.0,317.97489283665504,988,0,1,0,0,0,1,0,1,0,0,0,1,2025
2025-11-20,21,0.18998273618919825,0.8117529880478087,0.8117529880478087,291.0,280.0,321.97728399506883,1004,1,1,0,0,1,1,0,0,0,0,0,0,2025
2025-11-21,21,0.3388571314927365,-0.48221343873517786,-0.48221343873517786,194.0,373.0,319.0270664717289,1012,0,1,0,0,0,1,0,1,0,0,0,1,2025
2025-11-24,21,-0.306828319067436,0.5861386138613861,-0.5861386138613861,183.0,194.0,324.16734585537375,1010,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-11-25,21,-0.3178197007947149,0.45658835546475995,-0.45658835546475995,172.0,332.0,311.7704557739096,979,0,1,0,0,0,1,0,1,0,0,0,1,2025
2025-11-26,21,0.28678507437759476,0.6659979939819458,0.6659979939819458,251.0,139.0,313.69707903353725,997,1,0,1,0,0,0,0,0,0,0,0,0,2025
2025-11-27,21,-0.19303900189650486,0.031936127744510975,-0.031936127744510975,173.0,188.0,307.7259286493908,1002,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-11-28,21,0.07713110339446493,0.03596403596403597,0.03596403596403597,296.0,129.0,296.3234592542108,1001,1,0,0,0,1,0,1,0,0,0,1,0,2025
2025-12-01,21,-0.22622521093224995,-0.056112224448897796,0.056112224448897796,118.0,273.0,296.2926536109526,998,0,1,0,0,0,1,0,0,0,0,0,0,2025
2025-12-02,21,0.22631211115373953,0.3970149253731343,0.3970149253731343,162.0,261.0,294.0743056480047,1005,0,1,0,0,0,1,0,0,0,0,0,0,2025
2025-12-03,21,0.12010474706225373,0.37895812053115424,0.37895812053115424,126.0,198.0,290.9243717767662,979,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-12-04,21,-0.0022729883035826045,0.3072227873855544,-0.3072227873855544,148.0,210.0,282.07443160755037,983,0,1,0,0,0,1,0,0,0,0,0,0,2025
2025-12-05,21,0.17510076911403633,-0.20756646216768918,-0.20756646216768918,256.0,169.0,275.2102000258789,978,1,0,0,0,1,0,0,0,0,0,0,0,2025
2025-12-08,21,-0.09159430665822886,-0.02620967741935484,0.02620967741935484,279.0,61.0,273.3806571662714,992,1,0,0,0,1,0,1,0,0,0,1,0,2025
2025-12-09,21,-0.26673545360203926,-0.23029682702149437,0.23029682702149437,80.0,156.0,273.91583267424556,977,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-12-10,21,-0.10055728663147913,0.09081735620585267,-0.09081735620585267,182.0,114.0,262.68575337193647,991,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-12-11,21,-0.2789631455698705,0.2213359920239282,-0.2213359920239282,116.0,543.0,255.0013959079425,1003,0,1,0,0,0,1,0,1,0,0,0,1,2025
2025-12-12,21,0.1281020497203859,0.5649157581764123,0.5649157581764123,145.0,185.0,282.4298343929004,1009,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-12-15,21,0.11055112199183163,-0.3159478435305918,-0.3159478435305918,229.0,111.0,273.1508025459575,997,1,0,0,0,1,0,0,0,0,0,0,0,2025
2025-12-16,21,0.18627886813180614,-0.49363369245837413,-0.49363369245837413,278.0,272.0,268.9459642082473,1021,1,1,0,0,1,1,1,1,0,0,1,1,2025
2025-12-17,21,0.10601195960219435,0.5,0.5,163.0,267.0,269.8082533312714,998,0,1,0,0,0,1,0,1,0,0,0,1,2025
2025-12-18,20,-0.07505141397484652,-0.30832476875642345,0.30832476875642345,215.0,222.0,269.540800633055,973,1,1,0,0,1,1,0,0,0,0,0,0,2025
2025-12-19,21,0.024282407229592094,0.5612968591691996,0.5612968591691996,188.0,145.0,265.0131053346688,987,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-12-22,21,-0.1584468127689777,0.376984126984127,-0.376984126984127,198.0,134.0,257.67852387422414,1008,1,0,0,0,1,0,0,0,0,0,0,0,2025
