date,side,ordinal,is_2nd,entry_min,prior_swing_L,prior_run_open_L,ext_lvl,mfe_L,reach_L3,reach_L4,reach_L5
2024-08-27,long,1,0,804,0.604,0.279,>=L2,0.023,0,0,0
2024-08-28,long,1,0,701,0.509,0.116,>=L2,0.643,1,1,0
2024-08-29,long,1,0,548,0.517,0.405,>=L2,0.505,1,1,0
2024-09-02,short,1,0,597,0.533,0.13,>=L2,0.35,1,0,0
2024-09-03,short,1,0,645,0.531,0.188,>=L2,0.509,1,1,0
2024-09-04,short,1,0,593,1.421,1.314,>=L3,1.126,1,1,1
2024-09-04,long,1,0,635,1.632,0.318,>=L3,0.028,0,0,0
2024-09-04,short,2,1,683,1.421,1.314,>=L3,0.701,1,1,1
2024-09-05,long,1,0,587,0.623,0.427,>=L2,0.024,0,0,0
2024-09-05,short,1,0,619,0.537,0.196,>=L2,0.685,1,1,0
2024-09-09,short,1,0,530,0.525,0.337,>=L2,0.057,0,0,0
2024-09-09,long,1,0,539,0.519,0.188,>=L2,0.956,1,1,1
2024-09-10,short,1,0,598,0.602,0.47,>=L2,0.613,1,1,0
2024-09-10,long,1,0,820,0.574,0.131,>=L2,0.071,0,0,0
2024-09-12,short,1,0,558,0.542,0.39,>=L2,0.034,0,0,0
2024-09-12,long,1,0,589,0.651,0.261,>=L2,0.335,1,0,0
2024-09-13,long,1,0,824,0.509,0.095,>=L2,0.0,0,0,0
2024-09-18,short,1,0,704,0.517,0.061,>=L2,0.588,1,1,0
2024-09-20,short,1,0,633,0.513,0.264,>=L2,0.249,1,0,0
2024-09-24,short,1,0,595,0.522,0.296,>=L2,0.283,1,0,0
2024-09-24,long,1,0,685,0.539,0.226,>=L2,0.691,1,1,0
2024-09-26,short,1,0,658,0.519,0.365,>=L2,0.196,0,0,0
2024-09-27,short,1,0,644,0.617,0.598,>=L2,0.704,1,1,0
2024-09-27,long,1,0,774,0.515,0.018,>=L2,0.004,0,0,0
2024-09-30,short,1,0,595,0.547,0.347,>=L2,1.055,1,1,1
2024-09-30,long,1,0,739,0.522,0.2,>=L2,0.054,0,0,0
2024-09-30,short,2,1,776,1.137,0.937,>=L3,0.429,1,1,0
2024-10-04,long,1,0,542,0.546,0.342,>=L2,0.405,1,0,0
2024-10-04,short,1,0,608,0.702,0.204,>=L2,0.214,1,0,0
2024-10-04,long,2,1,643,0.813,0.609,>=L3,0.01,0,0,0
2024-10-04,short,2,1,713,0.751,0.204,>=L3,0.263,0,0,0
2024-10-07,long,1,0,747,0.94,0.832,>=L3,0.21,0,0,0
2024-10-08,short,1,0,607,0.527,0.485,>=L2,0.338,1,0,0
2024-10-08,long,1,0,675,0.671,0.042,>=L2,0.274,1,0,0
