trade_date,tse23_close,tse28_close
2011-05-11,333.99,1036.54
2011-05-12,335.65,1025.56
2011-05-13,335.4,1027.46
2011-05-16,331.17,1017.18
2011-05-17,329.26,1015.47
2011-05-18,331.67,1013.52
2011-05-19,330.0,1011.7
2011-05-20,328.37,1004.46
2011-05-23,324.33,991.49
2011-05-24,324.91,996.31
2011-05-25,323.28,990.77
2011-05-26,326.48,998.25
2011-05-27,327.7,997.41
2011-05-30,329.5,1000.51
2011-05-31,336.1,1019.77
2011-06-01,339.63,1024.32
2011-06-02,336.27,1019.11
2011-06-03,339.13,1022.51
2011-06-07,340.75,1023.85
2011-06-08,338.81,1015.89
2011-06-09,338.16,1021.46
2011-06-10,330.82,1006.66
2011-06-13,325.95,993.21
2011-06-14,330.98,1001.0
2011-06-15,330.02,997.64
2011-06-16,322.17,980.9
2011-06-17,320.09,979.34
2011-06-20,315.82,969.59
2011-06-21,319.31,981.95
2011-06-22,321.16,991.9
2011-06-23,318.39,982.5
2011-06-24,316.36,980.28
2011-06-27,314.27,978.68
2011-06-28,313.84,974.13
2011-06-29,314.48,998.45
2011-06-30,315.66,1013.19
2011-07-01,318.91,1026.76
2011-07-04,319.85,1025.55
2011-07-05,318.75,1023.16
2011-07-06,321.96,1031.91
2011-07-07,318.26,1039.51
2011-07-08,316.08,1032.62
2011-07-11,311.63,1033.65
2011-07-12,304.12,1015.72
2011-07-13,301.65,1014.2
2011-07-14,300.65,1011.66
2011-07-15,302.94,1032.73
2011-07-18,299.25,1039.91
2011-07-19,300.14,1036.48
2011-07-20,308.92,1053.05
2011-07-22,309.62,1056.88
2011-07-25,306.94,1044.03
2011-07-26,312.56,1059.0
2011-07-27,313.54,1060.97
2011-07-28,310.24,1056.8
2011-07-29,304.42,1040.64
2011-08-01,308.53,1071.38
2011-08-02,306.8,1059.05
2011-08-03,301.44,1041.56
2011-08-04,295.47,1045.08
2011-08-05,278.52,984.64
2011-08-08,268.39,942.06
2011-08-09,264.52,931.05
2011-08-11,273.44,969.17
2011-08-12,270.83,953.5
2011-08-15,278.27,971.43
2011-08-16,276.85,967.89
2011-08-17,272.82,965.85
2011-08-18,267.34,953.69
2011-08-19,256.99,917.37
2011-08-22,255.68,918.91
