Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,trade_date,weekday,year,is_long,MAE,MFE,MAE_MFE_ratio,trend_regime
-1,82817,82932,17998.0,17981.0,,,17.0,0.0,0.0009445493943771588,2022-02-23 09:27:00,2022-02-23 11:22:00,0 days 01:55:00,,2022-02-23,2,2022,False,14.0,57.0,0.24561403508771928,with_trend
-1,83145,83189,17813.0,17829.0,,,-16.0,0.0,-0.0008982204008307626,2022-02-24 09:54:00,2022-02-24 10:38:00,0 days 00:44:00,,2022-02-24,3,2022,False,29.0,33.0,0.8787878787878788,with_trend
1,84336,84433,17888.0,17897.0,,,9.0,0.0,0.0005031305903397953,2022-03-03 09:41:00,2022-03-03 11:18:00,0 days 01:37:00,,2022-03-03,3,2022,True,22.0,42.0,0.5238095238095238,with_trend
-1,84623,84692,17711.0,17780.0,,,-69.0,0.0,-0.003895883913951792,2022-03-04 09:27:00,2022-03-04 10:36:00,0 days 01:09:00,,2022-03-04,4,2022,False,70.0,14.0,5.0,with_trend
-1,85213,85321,17020.0,16821.0,,,199.0,0.0,0.011692126909518263,2022-03-08 09:15:00,2022-03-08 11:03:00,0 days 01:48:00,,2022-03-08,1,2022,False,38.0,270.0,0.14074074074074075,with_trend
-1,85533,85544,16930.0,16981.0,,,-51.0,0.0,-0.0030124040165386834,2022-03-09 09:34:00,2022-03-09 09:45:00,0 days 00:11:00,,2022-03-09,2,2022,False,53.0,6.0,8.833333333333334,with_trend
1,86130,86204,17288.0,17247.0,,,-41.0,0.0,-0.0023715872281351302,2022-03-11 09:29:00,2022-03-11 10:43:00,0 days 01:14:00,,2022-03-11,4,2022,True,47.0,6.0,7.833333333333333,with_trend
-1,87065,87138,16961.0,16854.0,,,107.0,0.0,0.006308590295383554,2022-03-16 10:01:00,2022-03-16 11:14:00,0 days 01:13:00,,2022-03-16,2,2022,False,11.0,145.0,0.07586206896551724,with_trend
1,87928,88019,17528.0,17530.0,,,2.0,0.0,0.00011410314924686915,2022-03-21 09:21:00,2022-03-21 10:52:00,0 days 01:31:00,,2022-03-21,0,2022,True,44.0,49.0,0.8979591836734694,with_trend
1,88268,88294,17514.0,17498.0,,,-16.0,0.0,-0.0009135548703893548,2022-03-22 10:00:00,2022-03-22 10:26:00,0 days 00:26:00,,2022-03-22,1,2022,True,19.0,10.0,1.9,with_trend
1,88828,88884,17583.0,17588.0,,,5.0,0.0,0.0002843655803901335,2022-03-24 09:18:00,2022-03-24 10:14:00,0 days 00:56:00,,2022-03-24,3,2022,True,35.0,46.0,0.7608695652173914,against_trend
-1,89726,89772,17534.0,17565.0,,,-31.0,0.0,-0.0017679936124102014,2022-03-29 09:13:00,2022-03-29 09:59:00,0 days 00:46:00,,2022-03-29,1,2022,False,43.0,30.0,1.4333333333333333,with_trend
1,90340,90417,17708.0,17723.0,,,15.0,0.0,0.0008470747684661273,2022-03-31 09:25:00,2022-03-31 10:42:00,0 days 01:17:00,,2022-03-31,3,2022,True,23.0,35.0,0.6571428571428571,with_trend
-1,90636,90677,17484.0,17524.0,,,-40.0,0.0,-0.0022878059940516504,2022-04-01 09:20:00,2022-04-01 10:01:00,0 days 00:41:00,,2022-04-01,4,2022,False,40.0,4.0,10.0,with_trend
-1,90942,90980,17391.0,17394.0,,,-3.0,0.0,-0.0001725030188028942,2022-04-06 09:25:00,2022-04-06 10:03:00,0 days 00:38:00,,2022-04-06,2,2022,False,14.0,31.0,0.45161290322580644,with_trend
-1,91265,91369,17368.0,17248.0,,,120.0,0.0,0.00690925840626444,2022-04-07 09:47:00,2022-04-07 11:31:00,0 days 01:44:00,,2022-04-07,3,2022,False,11.0,135.0,0.08148148148148149,with_trend
-1,91569,91623,17218.0,17246.0,,,-28.0,0.0,-0.0016262051341620065,2022-04-08 09:50:00,2022-04-08 10:44:00,0 days 00:54:00,,2022-04-08,4,2022,False,29.0,28.0,1.0357142857142858,with_trend
-1,92133,92156,16979.0,17044.0,,,-65.0,0.0,-0.0038282584368927175,2022-04-12 09:12:00,2022-04-12 09:35:00,0 days 00:23:00,,2022-04-12,1,2022,False,66.0,23.0,2.869565217391304,with_trend
1,92747,92825,17281.0,17270.0,,,-11.0,0.0,-0.0006365372374284028,2022-04-14 09:24:00,2022-04-14 10:42:00,0 days 01:18:00,,2022-04-14,3,2022,True,25.0,35.0,0.7142857142857143,with_trend
-1,93338,93427,16942.0,16824.0,,,118.0,0.0,0.006964939204344267,2022-04-18 09:13:00,2022-04-18 10:42:00,0 days 01:29:00,,2022-04-18,0,2022,False,53.0,129.0,0.4108527131782946,with_trend
-1,94585,94627,16930.0,16954.0,,,-24.0,0.0,-0.0014176018901359555,2022-04-22 09:56:00,2022-04-22 10:38:00,0 days 00:42:00,,2022-04-22,4,2022,False,26.0,7.0,3.7142857142857144,with_trend
-1,95457,95543,16296.0,16283.0,,,13.0,0.0,0.0007977417771232176,2022-04-27 09:25:00,2022-04-27 10:51:00,0 days 01:26:00,,2022-04-27,2,2022,False,22.0,136.0,0.16176470588235295,with_trend
1,96052,96107,16582.0,16562.0,,,-20.0,0.0,-0.0012061271257990391,2022-04-29 09:18:00,2022-04-29 10:13:00,0 days 00:55:00,,2022-04-29,4,2022,True,21.0,53.0,0.39622641509433965,with_trend
1,96355,96429,16492.0,16473.0,,,-19.0,0.0,-0.0011520737327188613,2022-05-03 09:20:00,2022-05-03 10:34:00,0 days 01:14:00,,2022-05-03,1,2022,True,35.0,27.0,1.2962962962962963,with_trend
-1,96649,96714,16572.0,16570.0,,,2.0,0.0,0.0001206854936036672,2022-05-04 09:13:00,2022-05-04 10:18:00,0 days 01:05:00,,2022-05-04,2,2022,False,7.0,36.0,0.19444444444444445,against_trend
1,96993,97017,16717.0,16705.0,,,-12.0,0.0,-0.0007178321469163418,2022-05-05 09:56:00,2022-05-05 10:20:00,0 days 00:24:00,,2022-05-05,3,2022,True,12.0,16.0,0.75,with_trend
-1,98495,98514,15873.0,15884.0,,,-11.0,0.0,-0.0006930006930006005,2022-05-12 09:53:00,2022-05-12 10:12:00,0 days 00:19:00,,2022-05-12,3,2022,False,11.0,18.0,0.6111111111111112,with_trend
1,99083,99104,15994.0,15957.0,,,-37.0,0.0,-0.0023133675128172992,2022-05-16 09:39:00,2022-05-16 10:00:00,0 days 00:21:00,,2022-05-16,0,2022,True,39.0,10.0,3.9,with_trend
1,99695,99742,16112.0,16156.0,,,44.0,0.0,0.0027308838133068836,2022-05-18 09:49:00,2022-05-18 10:36:00,0 days 00:47:00,,2022-05-18,2,2022,True,5.0,63.0,0.07936507936507936,with_trend
-1,100283,100354,16091.0,16115.0,,,-24.0,0.0,-0.0014915169970790565,2022-05-20 09:35:00,2022-05-20 10:46:00,0 days 01:11:00,,2022-05-20,4,2022,False,33.0,29.0,1.1379310344827587,against_trend
1,100570,100613,16187.0,16118.0,,,-69.0,0.0,-0.004262679928337509,2022-05-23 09:21:00,2022-05-23 10:04:00,0 days 00:43:00,,2022-05-23,0,2022,True,73.0,10.0,7.3,with_trend
1,100869,100911,16110.0,16098.0,,,-12.0,0.0,-0.0007448789571694592,2022-05-24 09:19:00,2022-05-24 10:01:00,0 days 00:42:00,,2022-05-24,1,2022,True,16.0,35.0,0.45714285714285713,with_trend
-1,101203,101214,16010.0,16044.0,,,-34.0,0.0,-0.0021236727045597092,2022-05-25 09:52:00,2022-05-25 10:03:00,0 days 00:11:00,,2022-05-25,2,2022,False,35.0,3.0,11.666666666666666,with_trend
1,102388,102463,16477.0,16565.0,,,88.0,0.0,0.005340778054257367,2022-05-31 09:33:00,2022-05-31 10:48:00,0 days 01:15:00,,2022-05-31,1,2022,True,14.0,102.0,0.13725490196078433,with_trend
1,104202,104276,16559.0,16577.0,,,18.0,0.0,0.001087022163174023,2022-06-09 09:41:00,2022-06-09 10:55:00,0 days 01:14:00,,2022-06-09,3,2022,True,16.0,40.0,0.4,against_trend
-1,104482,104504,16391.0,16436.0,,,-45.0,0.0,-0.002745409065950888,2022-06-10 09:20:00,2022-06-10 09:42:00,0 days 00:22:00,,2022-06-10,4,2022,False,49.0,11.0,4.454545454545454,with_trend
-1,104808,104848,16045.0,16035.0,,,10.0,0.0,0.0006232471174820731,2022-06-13 09:45:00,2022-06-13 10:25:00,0 days 00:40:00,,2022-06-13,0,2022,False,13.0,52.0,0.25,with_trend
1,105413,105451,16076.0,16047.0,,,-29.0,0.0,-0.001803931326200492,2022-06-15 09:48:00,2022-06-15 10:26:00,0 days 00:38:00,,2022-06-15,2,2022,True,30.0,2.0,15.0,with_trend
-1,106004,106112,15257.0,15201.0,,,56.0,0.0,0.003670446352493917,2022-06-17 09:37:00,2022-06-17 11:25:00,0 days 01:48:00,,2022-06-17,4,2022,False,43.0,104.0,0.41346153846153844,with_trend
1,106900,106913,15219.0,15156.0,,,-63.0,0.0,-0.004139562389118834,2022-06-22 09:30:00,2022-06-22 09:43:00,0 days 00:13:00,,2022-06-22,2,2022,True,63.0,5.0,12.6,with_trend
-1,107509,107548,15103.0,15116.0,,,-13.0,0.0,-0.0008607561411639875,2022-06-24 09:37:00,2022-06-24 10:16:00,0 days 00:39:00,,2022-06-24,4,2022,False,35.0,22.0,1.5909090909090908,against_trend
1,107825,107893,15317.0,15381.0,,,64.0,0.0,0.004178363909381755,2022-06-27 09:52:00,2022-06-27 11:00:00,0 days 01:08:00,,2022-06-27,0,2022,True,5.0,83.0,0.060240963855421686,with_trend
-1,108408,108471,15082.0,15105.0,,,-23.0,0.0,-0.0015249966847898921,2022-06-29 09:33:00,2022-06-29 10:36:00,0 days 01:03:00,,2022-06-29,2,2022,False,32.0,35.0,0.9142857142857143,with_trend
1,110838,110877,14306.0,14282.0,,,-24.0,0.0,-0.0016776177827484418,2022-07-11 09:55:00,2022-07-11 10:34:00,0 days 00:39:00,,2022-07-11,0,2022,True,49.0,28.0,1.75,with_trend
-1,111128,111151,14012.0,13975.0,,,37.0,0.0,0.002640593776762734,2022-07-12 09:44:00,2022-07-12 10:07:00,0 days 00:23:00,,2022-07-12,1,2022,False,10.0,77.0,0.12987012987012986,with_trend
-1,111420,111493,14266.0,14291.0,,,-25.0,0.0,-0.0017524183373054392,2022-07-13 09:35:00,2022-07-13 10:48:00,0 days 01:13:00,,2022-07-13,2,2022,False,53.0,26.0,2.0384615384615383,against_trend
1,112330,112375,14606.0,14593.0,,,-13.0,0.0,-0.0008900451869094939,2022-07-18 09:42:00,2022-07-18 10:27:00,0 days 00:45:00,,2022-07-18,0,2022,True,16.0,60.0,0.26666666666666666,with_trend
1,112909,112957,14874.0,14856.0,,,-18.0,0.0,-0.0012101653892698794,2022-07-20 09:19:00,2022-07-20 10:07:00,0 days 00:48:00,,2022-07-20,2,2022,True,36.0,11.0,3.272727272727273,with_trend
-1,113510,113524,14760.0,14808.0,,,-48.0,0.0,-0.003252032520325132,2022-07-22 09:18:00,2022-07-22 09:32:00,0 days 00:14:00,,2022-07-22,4,2022,False,48.0,5.0,9.6,against_trend
-1,114457,114504,14667.0,14655.0,,,12.0,0.0,0.0008181632235630953,2022-07-27 10:02:00,2022-07-27 10:49:00,0 days 00:47:00,,2022-07-27,2,2022,False,12.0,52.0,0.23076923076923078,with_trend
1,114708,114736,14888.0,14828.0,,,-60.0,0.0,-0.004030091348737219,2022-07-28 09:12:00,2022-07-28 09:40:00,0 days 00:28:00,,2022-07-28,3,2022,True,62.0,5.0,12.4,with_trend
1,115024,115073,14939.0,14952.0,,,13.0,0.0,0.0008702055023763755,2022-07-29 09:27:00,2022-07-29 10:16:00,0 days 00:49:00,,2022-07-29,4,2022,True,26.0,49.0,0.5306122448979592,with_trend
-1,115621,115660,14689.0,14639.0,,,50.0,0.0,0.0034039076860234996,2022-08-02 09:22:00,2022-08-02 10:01:00,0 days 00:39:00,,2022-08-02,1,2022,False,20.0,100.0,0.2,with_trend
-1,115913,115960,14706.0,14674.0,,,32.0,0.0,0.0021759825921392473,2022-08-03 09:13:00,2022-08-03 10:00:00,0 days 00:47:00,,2022-08-03,2,2022,False,21.0,86.0,0.2441860465116279,with_trend
1,116551,116599,14950.0,14971.0,,,21.0,0.0,0.001404682274247504,2022-08-05 09:49:00,2022-08-05 10:37:00,0 days 00:48:00,,2022-08-05,4,2022,True,16.0,28.0,0.5714285714285714,with_trend
