rule,split,recall_A,FPR_bull,hit_B,hit_C,hit_D,n_A,n_bull,youden_J,median_lag_days
A>=10d AND B=streak>=4,FULL,0.1250620347394541,0.0,0.20113636363636364,0.040238450074515646,0.0,2015,667,0.1250620347394541,119.0
A>=10d OR B=streak>=4,FULL,0.6267990074441687,0.1634182908545727,0.38522727272727275,0.36661698956780925,0.027888446215139442,2015,667,0.463380716589596,79.0
A>=10d AND B=streak>=6,FULL,0.10124069478908189,0.0,0.15113636363636362,0.0,0.0,2015,667,0.10124069478908189,133.0
A>=10d OR B=streak>=6,FULL,0.5712158808933002,0.07646176911544228,0.38522727272727275,0.3591654247391952,0.0,2015,667,0.49475411177785794,92.5
A>=10d AND B=score<=16,FULL,0.12406947890818859,0.0,0.19772727272727272,0.020864381520119227,0.0,2015,667,0.12406947890818859,179.5
A>=10d OR B=score<=16,FULL,0.45607940446650125,0.0,0.3409090909090909,0.14754098360655737,0.0,2015,667,0.45607940446650125,67.5
A>=10d AND B=score<=22,FULL,0.18660049627791564,0.0,0.21022727272727273,0.13561847988077497,0.0,2015,667,0.18660049627791564,157.5
A>=10d OR B=score<=22,FULL,0.6992555831265509,0.27586206896551724,0.5045454545454545,0.47690014903129657,0.027888446215139442,2015,667,0.42339351416103366,46.5
A>=20d AND B=streak>=1,FULL,0.171712158808933,0.0,0.1875,0.12816691505216096,0.0,2015,667,0.171712158808933,162.5
A>=20d OR B=streak>=1,FULL,0.6843672456575682,0.27586206896551724,0.4818181818181818,0.46497764530551416,0.027888446215139442,2015,667,0.408505176692051,51.5
A>=20d AND B=streak>=2,FULL,0.15037220843672455,0.0,0.18409090909090908,0.10283159463487332,0.0,2015,667,0.15037220843672455,174.0
A>=20d OR B=streak>=2,FULL,0.6540942928039702,0.24587706146926536,0.4420454545454545,0.37555886736214605,0.027888446215139442,2015,667,0.4082172313347049,62.5
A>=20d AND B=streak>=3,FULL,0.12853598014888337,0.0,0.18409090909090908,0.07153502235469449,0.0,2015,667,0.12853598014888337,184.5
A>=20d OR B=streak>=3,FULL,0.6337468982630273,0.2143928035982009,0.39090909090909093,0.3472429210134128,0.027888446215139442,2015,667,0.4193540946648264,72.5
A>=20d AND B=streak>=4,FULL,0.11017369727047147,0.0,0.18409090909090908,0.040238450074515646,0.0,2015,667,0.11017369727047147,129.0
A>=20d OR B=streak>=4,FULL,0.6119106699751861,0.1634182908545727,0.3568181818181818,0.3472429210134128,0.027888446215139442,2015,667,0.44849237912061335,84.0
A>=20d AND B=streak>=6,FULL,0.0913151364764268,0.0,0.13977272727272727,0.0,0.0,2015,667,0.0913151364764268,133.0
A>=20d OR B=streak>=6,FULL,0.5513647642679901,0.07646176911544228,0.35113636363636364,0.33979135618479883,0.0,2015,667,0.4749029951525478,102.5
A>=20d AND B=score<=16,FULL,0.1141439205955335,0.0,0.1806818181818182,0.020864381520119227,0.0,2015,667,0.1141439205955335,184.5
A>=20d OR B=score<=16,FULL,0.43622828784119105,0.0,0.3125,0.12816691505216096,0.0,2015,667,0.43622828784119105,72.5
A>=20d AND B=score<=22,FULL,0.171712158808933,0.0,0.1875,0.12816691505216096,0.0,2015,667,0.171712158808933,162.5
A>=20d OR B=score<=22,FULL,0.6843672456575682,0.27586206896551724,0.4818181818181818,0.46497764530551416,0.027888446215139442,2015,667,0.408505176692051,51.5
A>=60d AND B=streak>=1,FULL,0.11712158808933003,0.0,0.12727272727272726,0.06855439642324888,0.0,2015,667,0.11712158808933003,182.5
A>=60d OR B=streak>=1,FULL,0.6555831265508685,0.27586206896551724,0.43068181818181817,0.46497764530551416,0.027888446215139442,2015,667,0.37972105758535124,71.5
A>=60d AND B=streak>=2,FULL,0.10570719602977667,0.0,0.12727272727272726,0.06855439642324888,0.0,2015,667,0.10570719602977667,194.0
A>=60d OR B=streak>=2,FULL,0.6153846153846154,0.24587706146926536,0.3875,0.3502235469448584,0.027888446215139442,2015,667,0.36950755391535006,82.5
A>=60d AND B=streak>=3,FULL,0.084863523573201,0.0,0.12727272727272726,0.06855439642324888,0.0,2015,667,0.084863523573201,204.5
A>=60d OR B=streak>=3,FULL,0.5940446650124069,0.2143928035982009,0.33636363636363636,0.2906110283159464,0.027888446215139442,2015,667,0.37965186141420604,92.5
A>=60d AND B=streak>=4,FULL,0.06650124069478908,0.0,0.12727272727272726,0.040238450074515646,0.0,2015,667,0.06650124069478908,169.0
A>=60d OR B=streak>=4,FULL,0.5722084367245658,0.1634182908545727,0.30227272727272725,0.28763040238450077,0.027888446215139442,2015,667,0.40879014586999307,104.0
A>=60d AND B=streak>=6,FULL,0.04962779156327544,0.0,0.12727272727272726,0.0,0.0,2015,667,0.04962779156327544,169.0
A>=60d OR B=streak>=6,FULL,0.5096774193548387,0.07646176911544228,0.25227272727272726,0.28017883755588674,0.0,2015,667,0.4332156502393964,124.5
A>=60d AND B=score<=16,FULL,0.07444168734491315,0.0,0.12727272727272726,0.020864381520119227,0.0,2015,667,0.07444168734491315,204.5
A>=60d OR B=score<=16,FULL,0.3925558312655087,0.0,0.2545454545454545,0.06855439642324888,0.0,2015,667,0.3925558312655087,92.5
A>=60d AND B=score<=22,FULL,0.11712158808933003,0.0,0.12727272727272726,0.06855439642324888,0.0,2015,667,0.11712158808933003,182.5
A>=60d OR B=score<=22,FULL,0.6555831265508685,0.27586206896551724,0.43068181818181817,0.46497764530551416,0.027888446215139442,2015,667,0.37972105758535124,71.5
A>=0d AND B=streak>=1,IS,0.23588039867109634,0.0,0.44466800804828976,0.12776412776412777,0.0,1505,261,0.23588039867109634,110.0
A>=0d OR B=streak>=1,IS,0.6617940199335548,0.32567049808429116,0.6599597585513078,0.40540540540540543,0.0,1505,261,0.33612352184926364,27.0
A>=0d AND B=streak>=2,IS,0.22259136212624583,0.0,0.44466800804828976,0.06142506142506143,0.0,1505,261,0.22259136212624583,110.0
A>=0d OR B=streak>=2,IS,0.6212624584717608,0.24904214559386972,0.6217303822937625,0.28255528255528256,0.0,1505,261,0.37222031287789104,49.0
A>=0d AND B=streak>=3,IS,0.20730897009966778,0.0,0.42857142857142855,0.009828009828009828,0.0,1505,261,0.20730897009966778,110.0
A>=0d OR B=streak>=3,IS,0.5940199335548173,0.1685823754789272,0.5935613682092555,0.23587223587223588,0.0,1505,261,0.4254375580758901,69.0
A>=0d AND B=streak>=4,IS,0.19335548172757475,0.0,0.3963782696177062,0.0,0.0,1505,261,0.19335548172757475,110.0
A>=0d OR B=streak>=4,IS,0.5647840531561462,0.08045977011494253,0.5835010060362174,0.23587223587223588,0.0,1505,261,0.4843242830412037,92.0
A>=0d AND B=streak>=6,IS,0.15415282392026577,0.0,0.30784708249496984,0.0,0.0,1505,261,0.15415282392026577,133.0
A>=0d OR B=streak>=6,IS,0.5229235880398672,0.0,0.5835010060362174,0.23587223587223588,0.0,1505,261,0.5229235880398672,110.0
A>=0d AND B=score<=16,IS,0.17674418604651163,0.0,0.40643863179074446,0.0,0.0,1505,261,0.17674418604651163,112.0
A>=0d OR B=score<=16,IS,0.3767441860465116,0.0,0.48893360160965793,0.23587223587223588,0.0,1505,261,0.3767441860465116,69.0
A>=0d AND B=score<=22,IS,0.23588039867109634,0.0,0.44466800804828976,0.12776412776412777,0.0,1505,261,0.23588039867109634,110.0
A>=0d OR B=score<=22,IS,0.6617940199335548,0.32567049808429116,0.6599597585513078,0.40540540540540543,0.0,1505,261,0.33612352184926364,27.0
A>=5d AND B=streak>=1,IS,0.21993355481727575,0.0,0.4024144869215292,0.11547911547911548,0.0,1505,261,0.21993355481727575,114.0
A>=5d OR B=streak>=1,IS,0.6498338870431893,0.32567049808429116,0.6599597585513078,0.3415233415233415,0.0,1505,261,0.3241633889588982,27.0
A>=5d AND B=streak>=2,IS,0.20664451827242525,0.0,0.4024144869215292,0.06142506142506143,0.0,1505,261,0.20664451827242525,114.0
A>=5d OR B=streak>=2,IS,0.6093023255813953,0.24904214559386972,0.6217303822937625,0.20638820638820637,0.0,1505,261,0.3602601799875256,49.0
A>=5d AND B=streak>=3,IS,0.19136212624584717,0.0,0.39436619718309857,0.009828009828009828,0.0,1505,261,0.19136212624584717,114.0
A>=5d OR B=streak>=3,IS,0.5820598006644518,0.1685823754789272,0.5855130784708249,0.1597051597051597,0.0,1505,261,0.41347742518552466,69.0
A>=5d AND B=streak>=4,IS,0.17740863787375416,0.0,0.37424547283702214,0.0,0.0,1505,261,0.17740863787375416,114.0
A>=5d OR B=streak>=4,IS,0.5528239202657808,0.08045977011494253,0.5633802816901409,0.1597051597051597,0.0,1505,261,0.4723641501508382,92.0
A>=5d AND B=streak>=6,IS,0.14219269102990034,0.0,0.2857142857142857,0.0,0.0,1505,261,0.14219269102990034,133.0
A>=5d OR B=streak>=6,IS,0.5069767441860465,0.0,0.5633802816901409,0.1597051597051597,0.0,1505,261,0.5069767441860465,114.0
A>=5d AND B=score<=16,IS,0.16212624584717608,0.0,0.3762575452716298,0.0,0.0,1505,261,0.16212624584717608,114.0
A>=5d OR B=score<=16,IS,0.36345514950166113,0.0,0.4768611670020121,0.1597051597051597,0.0,1505,261,0.36345514950166113,69.0
